PDB,label,DOCKQ,FNAT,IRMSD,LRMSD,CAPRI_quality,PID,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,dMaSIF,PIsToN,GNN-DOVE,DeepRank-GNN
1PPE-ti5-it0-727,1,0.469,0.314,2.134,4.749,3,1PPE,-42.42209,-125.34,17.341,-7.518,4.778,-0.1914,-33.66,0.957787,0.694195807,1.024028778,0.1161,0.44783701
1PPE-cm-it0-2093,0,0.019,0,14.283,38.743,4,1PPE,-28.9292,-9.52854,-0.783,4.111,-0.563,-0.0369,-5.62,0.303689,-1.718061447,0.510566473,0.0685,0.007716316
1PPE-ranair-it0-4505,0,0.03,0,10.776,30.719,4,1PPE,-20.56764,-10.7556,1.067,-5.876,-2.42,-0.0273,-0.85,0.235831,-0.107003175,1.868475914,0.1078,0.024142945
1PPE-cm-it0-2035,0,0.015,0,17.147,43.076,4,1PPE,-35.44109,-55.3406,-1.124,2.46,-1.652,-0.0458,-21.21,0.222801,-0.439050287,0.631466806,0.0962,0.009309851
1PPE-cm-it0-3083,0,0.017,0,16.111,40.252,4,1PPE,-35.245,-46.0711,-1.358,1.457,-2.952,-0.0023,-3.2,0.20954,-1.213067293,0.620376825,0.0906,0.008859554
1PPE-cm-it0-4443,0,0.02,0,14.475,37.494,4,1PPE,-48.78761,-96.7385,-1.488,-7.873,-3.527,-0.037,5.84,0.333495,-0.582266986,1.369686007,0.1974,0.005185912
1PPE-cm-it0-7765,0,0.015,0,17.086,43.303,4,1PPE,-29.47123,-37.8785,-0.561,1.037,-1.994,-0.0268,12.65,0.081044,-1.116886616,1.716585159,0.237,-0.000465811
1PPE-cm-it0-644,0,0.124,0.029,5.4,13.886,4,1PPE,-57.07518,-100.097,-1.543,-20.13,2.839,-0.1427,-9.95,0.378657,1.086288929,1.7665447,0.2274,0.060914014
1PPE-ranair-it0-876,0,0.017,0,14.676,40.863,4,1PPE,-17.838998,0.0970783,8.712,-2.61,-1.754,0.0596,-8.45,0.185733,-0.937971056,1.887763143,0.2274,0.005388319
1PPE-ranair-it0-760,0,0.016,0,16.534,41.957,4,1PPE,-19.78697,-50.4347,2.526,9.053,-1.285,0.035,8.61,0.219832,-0.152341813,1.709489107,0.1995,0.018802595
1PPE-ti5-it0-728,0,0.144,0.129,6.227,14.753,4,1PPE,-14.60281,-12.3345,21.288,9.644,2,0.0453,-17.8,0.451136,0.844252467,1.518440008,0.1167,0.114743201
1PPE-ranair-it0-89,0,0.015,0,17.044,42.584,4,1PPE,-11.06578,-45.4786,-0.285,6.206,-1.448,-0.0754,-2.91,0.15161,-0.778318167,1.576921344,0.0822,0.012123269
1PPE-cm-it0-7326,0,0.035,0,10.579,27.722,4,1PPE,-42.30607,-34.1086,-1.859,-0.847,-1.772,-0.0668,-4.64,0.310025,-1.573233724,1.505064249,0.099,0.005281897
1PPE-cm-it0-7889,0,0.022,0,13.337,35.796,4,1PPE,-39.68301,-48.2674,-1.724,-0.1,-0.747,-0.0826,-14.7,0.328124,-1.146324515,1.308857203,0.1326,0.004955888
1PPE-ranair-it0-6248,0,0.078,0.014,7.366,18.195,4,1PPE,-11.542153,-12.0408,1.133,0.533,0.374,0.0246,9.22,0.020469,0.498053908,1.946390629,0.1242,0.012165785
1PPE-ranair-it0-1071,0,0.018,0,14.312,40.01,4,1PPE,-21.39067,-44.422,3.857,-0.673,0.42,-0.069,-10.99,0.330293,0.04660653,1.831566572,0.2374,0.011136185
1PPE-ranair-it0-2490,0,0.029,0,11.936,30.831,4,1PPE,-15.403782,18.391,2.652,-11.012,-0.719,0.0692,-13.54,0.280593,-0.368667156,1.645028234,0.2274,0.005340033
1PPE-cm-it0-9603,0,0.015,0,16.494,43.971,4,1PPE,-37.574317,-67.6524,-1.709,-5.326,0.146,-0.1008,-16.4,0.459755,-1.006577015,0.357388377,0.1386,0.005704458
1PPE-cm-itw-185w,0,0.119,0,5.954,13.061,4,1PPE,-32.27727,-15.6897,-1.122,-3.882,-1.296,-0.1112,3.76,0.29367,0.578520715,0.172713757,0.1268,0.032023102
1PPE-cm-it0-7057,0,0.016,0,15.2,42.224,4,1PPE,-35.8575,-17.9527,-0.426,7.738,-0.721,0.0273,-2.79,0.180256,-1.051914215,1.441618919,0.1633,0.00682397
1PPE-cm-it0-9405,0,0.018,0,15.622,39.608,4,1PPE,-36.966773,-61.4649,-2.465,-9.371,-0.927,-0.082,-8.25,0.463356,0.570074022,0.678744495,0.1623,0.01333399
1PPE-ranair-it0-5866,0,0.037,0.014,11.066,29.349,4,1PPE,-22.34678,-6.86216,0.587,8.792,-3.445,0.0467,24.66,0.198761,-0.848719478,1.097837687,0.254,0.001862426
1PPE-ranair-it0-7959,0,0.022,0,12.777,36.66,4,1PPE,-24.46255,-110.353,5.965,-0.102,-0.393,-0.0848,-22.44,0.445199,0.094128199,1.180706501,0.2327,0.034778867
1PPE-cm-it0-7399,0,0.029,0,11.253,30.923,4,1PPE,-40.3965,-94.7957,-0.564,1.098,-1.652,-0.1262,-10.56,0.466252,-0.652037978,1.691920519,0.1707,0.008083203
1PPE-cm-it0-3498,0,0.036,0,10.28,27.333,4,1PPE,-20.2878,-39.4068,0.269,11.524,-0.584,-0.0364,1.9,0.240958,-1.060342312,0.084462762,0.1146,0.002713421
1PPE-cm-it0-943,0,0.016,0,15.958,41.607,4,1PPE,-40.21084,-61.6937,-1.064,1.553,-1.529,-0.0615,-11.98,0.35685,-1.750355482,1.053862095,0.2509,0.015138598
1PPE-ranair-it0-1736,0,0.032,0.014,11.422,32.341,4,1PPE,-14.43414,-7.94293,5.395,9.549,-1.16,-0.0077,1.5,0.140913,-2.741353989,1.947335362,0.0755,0.058584638
1PPE-cm-it0-9674,0,0.017,0,16.094,40.571,4,1PPE,-45.57299,-48.1949,-2.363,-3.948,-3.128,-0.0344,-34.63,0.728353,0.993076742,-0.00843811,0.1112,0.008699833
1PPE-cm-it0-7708,0,0.032,0,11.064,29.185,4,1PPE,-30.5116,-25.2215,-0.641,10.017,-3.007,0.0715,11.13,0.146843,-0.763077974,1.513921499,0.201,0.003315813
1PPE-ranair-it0-8952,0,0.016,0,15.187,41.922,4,1PPE,-25.45476,-53.8766,4.196,5.551,-0.956,0.0089,-8.33,0.162686,-0.984777629,1.484190345,0.0905,0.013185738
1PPE-cm-it0-6778,0,0.152,0.071,5.551,12.466,4,1PPE,-33.2647,-40.5258,1.42,0,-0.337,-0.139,0.04,0.306688,0.685566127,1.924683452,0.1252,0.022399644
1PPE-cm-it0-7480,0,0.015,0,16.107,43.282,4,1PPE,-19.96586,-10.3403,-1.084,-0.132,-0.649,0.0206,0.85,0.263924,-1.55592978,1.518901229,0.0936,0.008916533
1PPE-cm-it0-4072,0,0.022,0,13.422,35.607,4,1PPE,-37.05891,-65.4911,-2.82,2.576,-1.685,-0.0597,-12.75,0.316881,-1.117459059,1.026376843,0.2274,0.001397428
1PPE-cm-it0-2756,0,0.02,0,14.585,37.693,4,1PPE,-32.85708,-29.7618,-1.521,0.27,-4.306,-0.1472,-2.72,0.338643,-2.163992882,1.205682993,0.1021,0.002956645
1PPE-ranair-it0-5725,0,0.018,0,15.105,40.184,4,1PPE,-17.23417,-2.86769,4.621,2.348,-4.955,0.067,-6,-0.053065,-0.908244729,1.953786492,0.2581,0.03352169
1PPE-ranair-it0-5884,0,0.044,0,9.401,24.599,4,1PPE,-9.2811088,-1.0372,2.708,2.247,-1.111,0.0304,2.31,0.043345,-3.066679716,1.932771444,0.1332,0.006265377
1PPE-cm-it0-3554,0,0.014,0,17.398,44.547,4,1PPE,-27.16188,-54.6893,-1.397,-5.509,-0.5,-0.121,-6.36,0.386819,-0.423407406,0.955968976,0.0971,0.004709784
1PPE-ranair-it0-1715,0,0.026,0,11.909,33.308,4,1PPE,-9.36295,-39.3519,2.58,3.027,-0.882,0.0037,-6.64,0.298243,-1.34815383,1.793164015,0.241,0.005471887
1PPE-cm-it0-8843,0,0.043,0.014,9.401,26.867,4,1PPE,-25.60091,-13.1246,-2.28,4.725,-0.722,0.1411,6.74,0.169313,-2.127230644,1.953505397,0.0911,0.047288032
1PPE-cm-it0-8594,0,0.016,0,15.499,41.865,4,1PPE,-47.3503,-89.8225,-0.136,0.472,-2.728,-0.0231,2.5,0.331982,-1.309806585,1.780712485,0.1071,0.004007982
1PPE-cm-it0-5313,0,0.022,0,13.28,35.687,4,1PPE,-37.85413,-27.9807,-1.768,-6.41,-1.913,-0.0865,12.25,0.177048,-1.610585213,1.944702983,0.0787,0.004769352
1PPE-cm-it0-4481,0,0.024,0,12.609,33.992,4,1PPE,-30.347347,-60.1453,-0.166,-5.909,-0.728,-0.0814,-5.48,0.359863,-0.332041383,1.920472741,0.2287,0.009964712
1PPE-ranair-it0-1559,0,0.033,0.014,11.762,31.113,4,1PPE,-29.52444,-48.7634,-1.132,-7.709,-0.886,-0.0656,0.1,0.328055,-1.295493484,1.289206982,0.2421,0.016032988
1PPE-ranair-it0-9869,0,0.02,0,14.013,38.001,4,1PPE,-22.34477,-5.03132,4.72,6.759,-4.757,0.0441,-6.07,0.189403,-1.383539677,1.851579905,0.1114,0.007515279
1PPE-ranair-it0-4837,0,0.02,0,13.722,38.009,4,1PPE,-19.82353,-10.7883,0.589,0.854,-1.974,-0.064,-4.59,0.097435,-1.281131983,1.847524405,0.2274,0.009741961
1PPE-ti5-it0-913,0,0.133,0.114,6.507,15.325,4,1PPE,-14.90639,-30.6065,24.082,10.352,0.803,-0.0266,-11.54,0.449366,0.541442573,1.442451,0.0993,0.11433778
1PPE-ranair-it0-1032,0,0.013,0,17.48,47.884,4,1PPE,-11.37998,-22.0563,0.513,5.017,-0.007,0.0352,-1.7,0.046715,-1.484164,1.922520041,0.0789,0.027882214
1PPE-cm-it0-411,0,0.016,0,16.205,41.571,4,1PPE,-35.913109,-41.2937,-0.69,5.706,-0.359,0.0018,3.96,0.234384,-0.429321408,0.854850829,0.1288,0.009570421
1PPE-ranair-it0-7601,0,0.032,0,11.083,29.323,4,1PPE,-18.01203,-12.7764,0.065,1.071,-4.087,0.0558,0.18,0.051931,-1.246983171,1.674637556,0.2177,0.029099302
1PPE-cm-it0-4703,0,0.016,0,16.164,41.14,4,1PPE,-29.38783,-48.4602,-0.853,-2.413,-2.431,-0.1349,-5.28,0.201682,-1.424016237,1.29458344,0.2599,0.005392575
1PPE-ranair-it0-2484,0,0.031,0,10.977,30.099,4,1PPE,-24.48353,-29.6169,2.656,6.761,-3.735,0.0316,-9.97,0.363455,-2.099411011,0.679411113,0.1018,0.009307208
1PPE-cm-it0-7625,0,0.046,0,8.969,24.028,4,1PPE,-25.86536,-75.2099,-0.751,-0.647,1.615,-0.0584,-8.15,0.241926,-0.515486896,0.94064635,0.291,0.026011506
1PPE-ranair-it0-6222,0,0.038,0,9.775,27.006,4,1PPE,-24.3469,-56.5011,11.624,-3.671,-0.905,-0.0389,11.32,0.316258,-1.0012995,1.279761553,0.1074,0.001904498
1PPE-ti5-it0-899,0,0.187,0.214,6.048,13.308,4,1PPE,-33.62007,-74.8678,6.611,5.802,4.498,-0.1403,-4.36,0.564042,1.05866766,1.761141658,0.2327,0.281689326
1PPE-cm-it0-3650,0,0.019,0,15.235,38.074,4,1PPE,-48.4497,-62.6638,-0.799,-1.665,-2.613,-0.0182,2.63,0.329633,-1.129084468,0.775296807,0.0769,-0.001201066
1PPE-ranair-it0-6433,0,0.071,0,7.552,18.5,4,1PPE,-31.13619,-79.5209,2,-3.212,-0.594,0.036,-9.18,0.145793,0.159161165,1.148977757,0.1359,0.009280602
1PPE-ranair-it0-2743,0,0.038,0.014,10.977,28.668,4,1PPE,-29.30587,-82.834,0.899,-8.797,-0.143,-0.0413,-8.57,0.379146,-0.10801807,1.459344506,0.0736,0.011122623
1PPE-ranair-it0-1915,0,0.055,0,8.286,21.633,4,1PPE,-22.09223,-29.7042,2.816,5.253,-1.83,-0.016,-3.67,0.237419,-0.500506282,1.938239217,0.1549,0.013180959
1PPE-cm-it0-8518,0,0.02,0,14.475,37.494,4,1PPE,-46.71382,-96.7348,-1.49,-7.877,-3.527,-0.037,5.85,0.333532,-0.606328905,0.705325127,0.1974,0.005184707
1PPE-ranair-it0-3602,0,0.018,0,14.057,40.2,4,1PPE,-21.14978,-94.6415,4.03,-7.978,1.464,-0.0841,-15.7,0.346557,-1.769076228,1.221235991,0.0582,0.028326489
1PPE-ranair-it0-7031,0,0.027,0,11.489,32.277,4,1PPE,-23.52705,36.3679,3.058,-0.327,-1.756,-0.1174,-0.99,0.289289,-1.524382949,1.670507789,0.2274,0.006058232
1PPE-ranair-it0-6649,0,0.023,0,12.791,35.465,4,1PPE,-1.471038,-28.4973,5.306,14.635,0.684,0.0718,-8.99,0.099779,-1.963047504,1.77552557,0.0517,0.012085096
1PPE-ti5-it0-182,0,0.181,0.143,4.877,12.594,4,1PPE,-32.37698,-96.1019,4.969,-2.096,2.051,-0.1472,-32.2,0.622293,0.38312304,1.800007939,0.1049,0.349077677
1PPE-cm-it0-5750,0,0.017,0,16.032,40.716,4,1PPE,-21.67314,-38.7658,-0.53,4.934,-3.271,0.0463,-7.32,0.170773,-0.305820078,1.89350009,0.1076,0.007470756
1PPE-ranair-it0-6523,0,0.025,0,12.819,33.562,4,1PPE,-22.66424,-22.9063,3.436,-0.629,-0.939,-0.0337,-3.84,0.271921,-0.675676584,1.382804513,0.1657,0.014355008
1PPE-ranair-it0-3457,0,0.019,0,14.949,38.294,4,1PPE,-25.41994,-19.0867,-2.166,-4.317,-3.91,-0.0546,-4.24,0.333483,-2.010988712,1.059481502,0.1113,0.002632234
1PPE-cm-it0-3207,0,0.164,0.043,4.791,11.307,4,1PPE,-54.30608,-91.5017,-2.514,-22.395,0.385,-0.1327,-6.59,0.299565,0.890718997,1.503921747,0.1853,0.110195992
1PPE-cm-it0-2750,0,0.019,0,15.234,38.074,4,1PPE,-44.7225,-61.3909,-0.818,-1.681,-2.613,-0.0213,2.72,0.329619,-1.191375613,0.940682113,0.0768,-0.001205038
1PPE-cm-it0-2213,0,0.121,0,5.474,13.242,4,1PPE,-31.61013,-23.0533,-2.125,-3.394,-0.156,-0.0409,0.9,0.222634,0.38727504,1.87995851,0.0882,0.085165549
1PPE-ranair-it0-6418,0,0.039,0,9.865,26.458,4,1PPE,-17.05754,-28.8581,15.931,3.108,-0.877,-0.0465,-25.1,0.52261,-2.035984993,1.650158882,0.0533,0.027678639
1PPE-ranair-itw-236w,0,0.031,0,10.471,30.001,4,1PPE,-28.20207,-81.2718,-2.817,-6.681,-0.088,-0.0678,-21.38,0.313241,0.218264714,1.156625867,0.0967,0.044290905
1PPE-cm-it0-8613,0,0.152,0.029,5.054,11.678,4,1PPE,-48.53073,-56.1895,-2.03,-8.349,0.159,-0.0766,-9.43,0.403887,0.318451822,1.582522154,0.1318,0.042979539
1PPE-cm-it1-289,0,0.125,0.029,5.798,13.477,4,1PPE,-49.82493,-60.3938,-1.029,-2.821,-0.069,0.0154,0.23,0.470886,0.181155756,0.144351244,0.0803,0.034095641
1PPE-ranair-it0-9074,0,0.012,0,17.749,49.851,4,1PPE,-1.23717,-9.391,5.078,11.825,-0.617,0.0738,9.51,0.02935,-0.985321164,1.913664579,0.1994,0.116582536
1PPE-cm-it0-1821,0,0.015,0,16.621,42.732,4,1PPE,-37.70649,-76.6472,-1.912,-5.6,1.542,-0.1092,-21.5,0.54829,0.651420176,0.571694016,0.0673,0.031906686
1PPE-ranair-it0-1317,0,0.012,0,18.846,47.539,4,1PPE,-19.02912,-13.1585,-0.53,0.589,-2.054,0.0118,3.53,0.224798,-1.175466061,1.831301093,0.2304,0.004353747
1PPE-ranair-it0-7322,0,0.022,0,13.047,35.526,4,1PPE,-11.0196,-17.2604,3.076,-3.409,-2.519,-0.0025,-2.88,0.151809,-1.602011919,1.794374824,0.2167,0.00680475
1PPE-cm-it0-8057,0,0.167,0.029,4.734,10.856,4,1PPE,-47.73399,-74.9722,-2.68,-20.588,0.265,-0.1071,-6,0.247287,0.684196353,1.512917638,0.0883,0.050917054
1PPE-cm-it0-7392,0,0.14,0,5.15,11.794,4,1PPE,-41.93159,-15.2798,-0.459,0.852,-1.382,0.0573,10.22,0.221946,0.254295468,1.94479394,0.1398,0.102050973
1PPE-ti5-it0-604,0,0.179,0.186,6.032,13.201,4,1PPE,-32.850604,-79.1485,6.06,3.065,5.465,-0.0643,-7.42,0.540166,0.914155781,1.789358258,0.077,0.278069689
1PPE-ranair-it0-2318,0,0.017,0,15.741,40.852,4,1PPE,-17.82624,31.2568,8.105,11.851,-2.674,0.0891,4.93,0.115221,-0.471704006,1.954936743,0.121,0.010119215
1PPE-ranair-it0-3355,0,0.018,0,14.663,40.366,4,1PPE,-28.65644,-34.2112,2.36,4.755,-0.934,-0.0044,6.43,0.438518,-0.746796608,1.792307138,0.2525,0.014182258
1PPE-ranair-it0-7612,0,0.023,0,13.055,35.144,4,1PPE,-25.82446,-45.1864,0.333,-5.908,-1.701,0.0155,-1.17,0.19175,-1.557639003,1.209779263,0.0854,0.017809408
1PPE-ranair-it0-1155,0,0.018,0,15.634,39.034,4,1PPE,-37.82392,-61.8916,-2.06,-0.486,-3.376,-0.0064,-18.26,0.670192,0.043406781,0.402673841,0.2161,-0.001392089
1PPE-ranair-it0-2999,0,0.02,0,14.592,37.449,4,1PPE,-7.55579,4.38305,6.667,11.997,-5.182,-0.0503,0.74,0.20968,-1.699221253,1.411774039,0.0594,0.001689278
1PPE-ranair-it0-3231,0,0.03,0,11.301,30.553,4,1PPE,-15.8259,-24.824,0.013,-0.335,-2.817,0.0463,0.21,0.156516,-1.859863162,1.936557055,0.0767,0.013104149
1PPE-ranair-it0-6117,0,0.018,0,15.507,39.886,4,1PPE,-8.63213,-19.8184,2.563,7.691,-1.313,-0.0009,-5.26,0.123474,-0.147638321,1.639933944,0.1819,0.005763644
1PPE-ranair-it0-9296,0,0.046,0.014,10.121,25.138,4,1PPE,-23.78724,-42.5813,1.031,-7.986,-0.309,-0.0186,-13.99,0.210866,0.139082983,1.710319877,0.2327,0.025330991
1PPE-ranair-it1-247,0,0.17,0.086,5.173,11.631,4,1PPE,-49.59419,-89.9722,-2.525,-5.197,2.438,-0.1212,-4.02,0.376285,0.38150999,-0.064496517,0.1755,0.127943711
1PPE-cm-it0-9722,0,0.12,0,5.636,13.181,4,1PPE,-43.05667,-57.0366,2.041,-7.814,1.371,-0.0772,-0.34,0.394789,0.682813287,0.199737668,0.138,0.022704206
1PPE-ranair-it0-5882,0,0.013,0,18.704,45.885,4,1PPE,-22.073,-19.4422,0.303,10.733,-2.645,0.0199,10.3,0.130614,-1.15139997,1.682775497,0.1917,0.008629238
1PPE-ranair-it0-8109,0,0.014,0,16.82,45.055,4,1PPE,-43.2514,-53.4879,15.781,4.699,-2.634,0.028,-1.6,0.423377,-0.638950706,1.717683196,0.1387,0.008493449
1PPE-cm-itw-279w,0,0.214,0.171,4.547,11.054,4,1PPE,-67.6762,-151.01,-2.951,-18.081,3.885,-0.0644,-29.67,0.698727,1.258722901,0.867083073,0.102,0.290368039
1PPE-ranair-it0-3371,0,0.014,0,17.362,44.956,4,1PPE,-23.73908,5.05632,6.056,-1.171,-4.782,-0.0186,-5.38,0.245116,-0.842401683,1.869430304,0.0921,0.020035202
1PPE-ranair-it0-2597,0,0.035,0,9.808,28.36,4,1PPE,-17.97052,-46.5541,-1.095,1.664,-0.85,-0.047,-6.15,0.360584,-2.221397161,1.843415618,0.2004,0.035186437
1PPE-cm-it0-1887,0,0.019,0,15.341,38.556,4,1PPE,-49.7706,-62.7403,-0.764,0.888,-1.816,-0.1172,0.43,0.279306,-0.576886475,0.774368703,0.117,0.004322007
1PPE-ranair-it1-250,0,0.099,0.057,7.145,17.146,4,1PPE,-51.77,-55.6294,-1.089,-0.329,3.413,-0.0351,9.12,0.375596,0.955056369,-0.024035096,0.128,0.163816893
1PPE-ranair-it0-5423,0,0.014,0,16.272,44.685,4,1PPE,-16.76225,-8.43055,7.388,0.025,-1.085,-0.0213,2.36,0.217222,-1.810503721,1.707459807,0.0781,0.009038631
1PPE-cm-it0-8352,0,0.034,0,10.491,28.632,4,1PPE,-21.70341,-51.9737,-1.087,5.823,-0.906,-0.0002,3.63,0.199407,-1.2310009,1.391379595,0.0896,0.007472882
1PPE-cm-it0-8170,0,0.024,0,12.104,34.686,4,1PPE,-37.70057,-80.579,-1.189,3.332,0.001,-0.0157,-7.53,0.398946,-1.027010083,1.265285254,0.0843,0.015393517
1PPE-ranair-it0-6100,0,0.057,0,8.252,21.163,4,1PPE,-9.25856,5.12394,1.395,-3.249,-1.274,-0.1004,-13.5,0.243487,-1.808211327,1.775012255,0.0578,0.020344666
1PPE-cm-it0-1278,0,0.036,0,10.384,27.483,4,1PPE,-40.2844,-50.3227,-1.108,1.944,-3.929,-0.1176,10.35,0.284674,-1.042229533,1.380593061,0.0914,0.006798715
1PPE-ranair-it0-7290,0,0.016,0,16.151,42.564,4,1PPE,-19.83725,-33.3122,5.527,-6.854,-2.389,-0.0025,-11.9,0.042192,-0.502809465,1.295089602,0.2076,0.012248914
1PPE-ranair-it0-2543,0,0.017,0,15.51,41.089,4,1PPE,-11.45706,3.62484,3.886,4.073,-1.378,0.0062,1.96,0.152073,-1.59388423,1.856782198,0.2322,0.006217844
1PPE-cm-it0-9220,0,0.014,0,17.427,45.489,4,1PPE,-28.0046,-34.0305,-0.058,13.622,-3.103,-0.0164,10.26,0.17849,-1.635161877,1.699710727,0.1306,0.006062866
