PDB,label,PID,DeepRank-GNN,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,iRMSD,lRMSD,FNAT,CAPRI_quality,dMaSIF,PIsToN,GNN-DOVE
7avw_71,0,7avw,0.010279951,-43.19878,-55.7916,4.518,-10.382,-0.185,-0.1495,27.85,0.615515,22.169,60.068,0,4,-0.357078373,1.930745,0.0791
7avw_72,0,7avw,0.010279951,-62.1722,-93.097,0.233,7.978,-1.825,-0.0189,-24.26,0.464076,18.212,45.5,0,4,-1.627500296,1.6612021,0.2274
7avw_73,0,7avw,0.007790003,-34.62086,285.45,36.059,-0.172,0.151,-0.1906,0.5,0.39239,23.054,64.985,0,4,-0.330467373,1.9495578,0.1545
7avw_74,0,7avw,0.009519217,-57.53568,32.5682,-1.186,-3.059,-2.218,-0.0471,-6.96,0.713127,24.614,73.79,0,4,-0.687285185,0.39822268,0.2183
7avw_75,0,7avw,0.014297035,-58.38691,199.973,34.353,-7.375,-0.525,-0.1007,-1.38,0.743485,17.9,52.479,0,4,0.308457345,1.787019,0.1553
7avw_76,0,7avw,0.01040053,-51.566876,4.20845,4.152,-0.979,-2.794,-0.0743,4.77,0.431606,12.143,47.617,0,4,-1.136125684,1.9509486,0.2274
7avw_77,0,7avw,0.013298531,1.2610199999999985,320.758,37.693,29.494,-5.209,-0.0195,17.69,0.438556,19.909,49.642,0,4,-1.163466096,1.9025056,0.2286
7avw_78,0,7avw,0.004975809,-29.06877,14.0517,19.784,-21.446,-2.089,-0.1123,-15.6,0.7727,15.763,60.378,0,4,-2.309321642,1.9335811,0.2274
7avw_79,0,7avw,0.009199588,-41.2487,-112.774,3.173,1.722,-3.172,-0.0871,16.19,0.468909,21.848,69.325,0,4,-1.053115129,1.8392088,0.2517
7avw_80,0,7avw,0.014604991,-44.62742,-43.5109,2.882,-10.804,-3.293,-0.0522,-15.2,0.658523,22.495,79.157,0,4,-0.878441453,1.9191048,0.0545
7avw_81,0,7avw,0.007934409,-54.41693,-104.407,-0.263,-9.418,0.642,0.0031,-10.99,0.770863,15.218,54.058,0,4,-0.160908401,1.1404865,0.2395
7avw_82,0,7avw,0.010279951,-35.47815,-69.6613,1.999,-1.098,2.213,-0.1118,20.4,0.654872,18.485,54.36,0,4,-0.442900658,1.6995547,0.3182
7avw_83,0,7avw,0.007209907,-68.0253,182.32,33.292,-3.981,-1.212,-0.1294,14.95,0.747906,13.926,61.945,0,4,-2.049344301,1.7464705,0.2274
7avw_84,0,7avw,0.032864891,-38.08595,-66.0515,7.553,-15.238,3.556,-0.1638,-16.37,0.769388,18.738,59.371,0,4,-0.019708812,1.841346,0.1559
7avw_85,0,7avw,0.007060565,-50.65239,42.8379,25.929,-9.491,-2.198,-0.0623,-1.43,0.674025,19.343,51.16,0,4,-1.034849882,1.9034113,0.1481
7avw_86,0,7avw,0.000660012,-57.12088,-81.2514,33.171,-19.149,2.066,-0.1246,-21.09,0.829567,14.893,52.733,0,4,0.989248633,0.8865731,0.0962
7avw_87,0,7avw,0.008413595,-30.87392,410.133,67.162,4.49,-3.811,-0.0436,10.65,0.698889,21.135,52.61,0,4,-0.93736583,1.9323473,0.2274
7avw_88,0,7avw,0.017319858,-40.71938,100.413,8.236,-1.471,-2.269,-0.0197,-12.85,0.931781,21.727,56.095,0,4,-1.088337183,1.8700081,0.2436
7avw_89,0,7avw,0.019180428,-44.91572,785.843,7.233,-4.318,-3.477,-0.1939,14.6,0.778463,19.612,55.534,0,4,-1.850606561,1.5041327,0.2315
7avw_90,0,7avw,0.010279951,-52.742,-71.9413,19.021,-15.144,2.341,-0.1571,-27.24,1.053967,26.159,75.327,0,4,-0.314838409,1.2415173,0.0618
7avw_91,0,7avw,0.003055692,-44.363054,-10.9392,0.378,1.094,-5.487,-0.0149,17.27,0.487081,14.793,53.072,0,4,-2.143385649,1.9523982,0.2274
7avw_92,0,7avw,0.006588567,-53.7268,-66.639,3.286,1.721,-1.054,-0.0712,-5.78,0.722077,16.857,49.729,0,4,-1.408875108,1.3348341,0.2274
7avw_93,0,7avw,0.010279951,-54.59889,4.78215,6.309,1.099,-3.33,-0.1148,-2.81,0.65222,23.933,68.825,0,4,-0.165887371,1.9306896,0.2274
7avw_94,0,7avw,0.038923468,-35.63978,36.7797,19.37,0.556,-0.698,-0.0179,17.67,0.615988,16.011,60.591,0,4,-1.11449337,1.930295,0.1084
7avw_95,0,7avw,0.01215977,-41.65238,70.6087,13.796,-8.25,-0.317,-0.0272,-10.48,0.506482,21.216,59.575,0,4,-0.802153826,1.9562135,0.1959
7avw_96,0,7avw,0.024177983,-38.17715,-77.2676,1.523,-0.497,-1.214,-0.073,26.96,0.89545,20.587,51.033,0,4,-0.009437731,1.8082409,0.1519
7avw_97,0,7avw,0.005772525,-40.26796,-17.5462,7.141,2.716,-2.138,-0.047,18.22,0.53443,19.498,63.23,0,4,-1.56362164,1.9579057,0.2274
7avw_98,0,7avw,0.008506226,-34.14364,-30.8854,-1.19,5.333,-4.333,-0.0286,14.09,0.639599,19.67,54.097,0,4,-0.940482974,1.9480288,0.2274
7avw_99,0,7avw,0.01431476,-45.5472,131.961,15.925,1.287,-3.806,-0.0959,-9.6,0.404799,21.268,74.409,0,4,-0.675828457,1.8722117,0.1952
7avw_100,0,7avw,0.009328775,-40.34904,-47.6259,7.48,6.031,-2.229,0.0846,11.11,0.598502,9.573,43.549,0,4,-0.3311961,1.9630061,0.2274
7qwv_1,1,7qwv,0.021474682,-126.8504,-344.956,-9.385,-54.974,13.728,-0.5396,-66.19,1.676152,0.159,0.426,0.977778,1,2.170746803,-1.4429632,0.1492
7qwv_2,0,7qwv,0.030490339,-58.2194,-93.541,-1.186,-14.491,7.991,-0.2248,-9.82,0.44601,9.161,24.524,0,4,-1.020310521,0.5281358,0.1399
7qwv_3,0,7qwv,0.024189016,-44.57772,-66.0382,5.371,-19.674,6.731,-0.0986,-28.57,0.689242,12.045,30.614,0,4,0.623083889,0.010116816,0.1934
7qwv_4,0,7qwv,0.006506616,-58.97283,-68.9035,-1.689,-16.274,5.37,-0.1015,-6.77,0.55749,10.679,27.936,0,4,-0.430588454,0.70713836,0.2049
7qwv_5,0,7qwv,0.006731066,-51.25898,-126.369,-2.657,-19.363,10.055,-0.1383,-14.79,0.865787,6.406,14.574,0.111111,4,0.989460409,0.03836572,0.241
7qwv_6,0,7qwv,0.022930577,-36.36054,-63.2222,-1.23,-10.849,5.481,0.0112,-10.69,0.492916,10.096,27.129,0,4,-0.394067556,0.68010986,0.2879
7qwv_7,0,7qwv,0.008170946,-44.47222,-49.7843,4.94,-22.541,4.84,-0.0817,-27.75,0.419885,13.31,33.827,0,4,-1.023295999,0.5343323,0.1326
7qwv_8,0,7qwv,0.006742377,-55.9788,-176.86,-3.422,-32.48,8.48,-0.1154,-16.58,0.755262,6.092,15.163,0.111111,4,0.560158491,-0.032423496,0.1319
7qwv_9,0,7qwv,0.010779412,-43.9372,-105.621,-2.663,-21.469,6.668,-0.2079,-22.79,0.656281,15.106,38.428,0,4,0.130526945,0.5189228,0.19
7qwv_10,0,7qwv,0.003742633,-43.14644,-104.619,-0.214,-27.235,5.351,0.0066,-17.44,0.746811,12.743,33.507,0,4,-2.499149323,0.97240907,0.0376
7qwv_11,0,7qwv,0.007738217,-54.77783,-57.3427,1.412,-11.126,6.744,-0.055,-15.89,0.483627,9.546,24.79,0,4,-1.041917443,0.7806006,0.1491
7qwv_12,0,7qwv,0.007133733,-47.90521428,-97.0267,21.222,-10.775,9.411,-0.1849,-18.19,0.524472,10.493,26.958,0,4,-0.143128753,0.37387192,0.0717
7qwv_13,0,7qwv,0.006898276,-33.670176,-17.6191,-2.143,-6.729,0.137,0.053,2.42,0.174103,9.178,26.015,0,4,-2.673257113,0.9977282,0.0611
7qwv_14,0,7qwv,0.007617921,-35.685372,-74.4911,12.584,-14.759,7.088,-0.0863,-17.72,0.585618,13.998,34.709,0,4,-0.116605639,0.0840044,0.2106
7qwv_15,0,7qwv,0.006517272,-23.12295,-13.0075,7.087,-5.452,6.739,-0.1489,3.13,0.490914,12.138,31.296,0,4,-1.812962174,1.3959372,0.152
7qwv_16,0,7qwv,0.006935717,-39.95718,-46.3453,-0.92,-12.415,4.612,-0.0659,-13.58,0.77682,12.681,32.289,0,4,-1.547130823,1.1028576,0.1949
7qwv_17,0,7qwv,0.005698814,-46.42128,-88.3432,-1.181,-26.277,5.741,-0.0519,-28.01,0.749429,14.078,36.431,0,4,-0.495586544,1.0046527,0.0933
7qwv_18,0,7qwv,0.002985927,-44.55518,-76.1992,-1.181,-5.926,8.85,-0.0561,-7.32,0.46319,8.819,23.599,0,4,-1.139367104,0.532961,0.0954
7qwv_19,0,7qwv,0.00676735,-39.91839,-77.9825,-0.148,-7.129,7.067,-0.0986,-11.12,0.372474,10.825,27.794,0,4,-0.342943609,0.6405561,0.1363
7qwv_20,0,7qwv,0.008073324,-48.314604,-83.1085,12.731,-28.416,7.241,-0.1163,-23,0.759886,4.692,12.936,0.088889,4,0.124207772,0.11330104,0.4455
7qwv_21,0,7qwv,0.009301566,-38.837219,-115.632,0.454,-19.746,4.998,-0.1026,-26.4,0.787364,13.837,35.162,0,4,-1.226180911,0.6606412,0.1203
7qwv_22,1,7qwv,0.007269002,-50.14638,-108.963,1.526,-26.873,6.543,-0.0727,-16.03,0.739784,2.75,6.813,0.288889,3,0.93266207,0.2612009,0.3441
7qwv_23,0,7qwv,0.005654959,-34.2867,166.487,26.419,-10.25,1.216,-0.0176,-4.8,0.064916,10.165,28.202,0,4,-2.445803642,0.79774314,0.112
7qwv_24,0,7qwv,0.004475111,-72.612384,14.7455,26.149,-25.316,8.963,-0.0622,-13.89,0.554974,5.554,14.322,0.2,4,-0.493022174,0.06849706,0.087
7qwv_25,1,7qwv,0.008910606,-77.09666,38.9356,31.392,-42.425,9.184,-0.1244,-20.51,1.083203,2.036,5.405,0.444444,3,1.402614474,0.16710377,0.1107
7qwv_26,0,7qwv,0.006146881,-76.0166,-178.925,-3.414,-35.086,5.872,-0.2316,-19.07,0.717795,11.917,31.574,0,4,-0.994340122,0.6513781,0.0877
7qwv_27,0,7qwv,0.026472189,-20.84357,218.35,25.916,-7.313,3.689,-0.0688,2.82,0.263447,9.389,24.539,0,4,-1.470499277,0.78829163,0.1089
7qwv_28,0,7qwv,0.01030905,-49.0108,-78.4973,1.146,-9.772,2.529,-0.0352,-7.73,0.417081,8.958,24.271,0.022222,4,-2.387872219,0.7347396,0.129
7qwv_29,0,7qwv,0.006833729,-41.17946,-61.7184,0.046,-23.432,5.694,-0.0789,-21.36,0.665479,13.186,33.881,0,4,-0.714342833,0.6237535,0.0508
7qwv_30,0,7qwv,0.004196429,-42.35786,-35.0419,11.858,-19.768,8.318,-0.0893,-12.97,0.562838,10.556,28.162,0,4,-0.939713597,0.8208113,0.1291
7qwv_31,0,7qwv,0.007374378,-43.23694,219.792,40.384,-14.662,7.237,-0.0777,-11.61,0.424435,9.827,25.644,0,4,-0.46908766,0.7273649,0.1902
7qwv_32,0,7qwv,0.025062412,-68.4159,-141.017,-1.962,-26.029,10.22,-0.163,-7.79,0.626464,9.344,26.233,0,4,-0.695775032,0.5163373,0.2806
7qwv_33,0,7qwv,0.013725307,-51.042306,-83.4109,-2.319,-25.523,5.862,-0.0511,-13.09,0.467719,12.34,32.362,0,4,-2.618995905,1.3520675,0.1277
7qwv_34,1,7qwv,0.008499899,-43.59472,-126.814,-0.987,-14.897,9.424,-0.1479,-5.19,0.615277,2.276,5.33,0.111111,3,1.675820827,0.22413743,0.2109
7qwv_35,0,7qwv,0.00976795,-44.29158,199.356,43.515,-11.126,8.488,-0.0248,-17.44,0.561158,8.882,24.667,0,4,-0.346083343,0.44377112,0.2846
7qwv_36,0,7qwv,0.00702619,-21.701944,155.092,20.402,-8.063,0.566,0.0209,-2.46,-0.001452,10.7,28.213,0,4,-2.411230803,1.8362479,0.0613
7qwv_37,0,7qwv,0.018647505,-56.0372,-172.003,-3.153,-29.192,8.495,-0.2095,-20.49,0.697662,6.585,15.502,0.111111,4,0.765577555,0.029561639,0.1141
7qwv_38,0,7qwv,0.005982329,-29.86454,-41.3489,-1.777,-12.959,4.215,-0.0931,-12.41,0.451237,12.752,32.502,0,4,-0.067604706,0.7121588,0.1117
7qwv_39,0,7qwv,0.016056731,-28.681357,73.3279,8.594,-6.277,3.239,-0.0049,-8.91,0.166995,7.789,21.895,0,4,-2.038183451,1.2940191,0.1188
7qwv_40,0,7qwv,0.009698864,-47.73718,-24.1423,-0.063,-12.314,3.992,-0.0116,-0.25,0.496502,10.268,28.04,0,4,-0.140044808,0.5877404,0.0992
7qwv_41,0,7qwv,0.005933869,-43.93816,-102.101,-1.695,-19.869,7.417,-0.0471,-9.62,0.623124,15.171,38.873,0,4,-0.495579422,1.427181,0.2432
7qwv_42,0,7qwv,0.014226054,-34.83132,-79.0699,-1.648,-12.89,5.121,-0.1618,-20.49,0.714306,14.588,36.84,0,4,-0.348131627,0.7209121,0.1342
7qwv_43,0,7qwv,0.005775407,-37.62388,-95.913,0.393,-14.598,6.387,-0.1107,-1.32,0.568883,3.726,9.548,0.022222,4,0.551787794,1.4375415,0.1266
7qwv_44,0,7qwv,0.008026228,-52.81906,-115.788,-1.936,-30.779,7.137,0.009,-13.16,0.549348,8.644,21.842,0.155556,4,-0.957828999,0.5084472,0.0654
7qwv_45,0,7qwv,0.006946793,-35.999234,194.587,30.661,-7.009,6.421,-0.0094,-6.42,0.547265,10.766,27.863,0,4,-0.446096003,0.76574385,0.2463
7qwv_46,0,7qwv,0.006155835,-57.71222,-115.974,-1.033,-22.379,8.691,-0.0797,-20.13,0.531209,9.275,25.891,0.066667,4,-0.797480047,0.067855,0.1254
7qwv_47,0,7qwv,0.008351934,-41.74939,-80.4237,-2.078,-13.132,5.343,-0.1359,-7.24,0.445113,9.698,25.355,0,4,0.375639796,0.26078248,0.0964
7qwv_48,0,7qwv,0.005956174,-28.026804,-26.7687,5.283,-11.328,4.35,0.0061,-14.19,0.41605,12.177,31.151,0,4,-1.750810146,1.3827004,0.1372
7qwv_49,0,7qwv,0.008126041,-35.98504,-75.7196,2.864,-17.184,7.755,-0.0288,-0.89,0.550309,3.324,8.851,0.044444,4,-0.662614882,0.75606614,0.2824
7qwv_50,0,7qwv,0.007329714,-29.58741,397.691,56.204,-12.519,7.391,-0.1722,-21.74,0.536856,12.722,32.949,0,4,-0.396012217,1.5142052,0.0665
7qwv_51,0,7qwv,0.006115786,-46.034468,-68.4171,0.093,-21.781,2.443,-0.089,-3.12,0.228657,8.882,24.41,0.022222,4,-2.431779623,1.363304,0.0637
7qwv_52,0,7qwv,-0.052192274,-51.924634,-39.7656,0.605,-14.514,6.43,-0.1281,1.51,0.476917,14.298,36.803,0,4,0.142719328,1.4399465,0.0806
7qwv_53,0,7qwv,0.019939147,-54.9335,-90.7219,-1.287,-31.513,6.824,-0.0761,-17.51,0.514357,13.655,34.996,0,4,0.065665506,0.7239521,0.1541
7qwv_54,0,7qwv,0.008526526,-57.27002,-92.8825,5.042,-32.195,7.687,-0.1824,-19.63,0.693495,7.711,19.985,0.066667,4,0.632268429,0.500383,0.1236
