PDB,seqid,classification,PID,label,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,GNN-DOVE,dMaSIF,DeepRank-GNN,PIsToN
T29_1012,90.9,incorrect,T29,0,-67.23089,643.676,226.389,5.883,5.227,0.0033,-34.54,0.75821,0.3673,-2.638358593,-0.205675751,0.291002512
T29_1013,90.9,incorrect,T29,0,-79.5418,-106.736,-1.197,-10.77,0.615,-0.0974,-13.66,0.933255,0.2765,-0.52696377,0.010279951,1.866378069
T29_1014,90.8,"clashes,incorrect",T29,0,1513.3514999999998,2918.72,667.427,17.332,-5.826,0.1485,-35.81,-0.060976,0.5983,-2.43094492,0.006639163,1.830642462
T29_1015,90.9,incorrect,T29,0,-194.2732,-331.548,-16.251,-56.477,12.914,-0.1869,-93.22,1.486828,0.5212,0.120741323,0.010279951,-1.659556389
T29_1016,90.9,"clashes,incorrect",T29,0,-41.7279,2777.27,853.647,57.699,-7.859,0.0415,-34.03,-0.119718,0.2801,-1.852028131,0.031092886,1.837657094
T29_1017,90.9,incorrect,T29,0,-89.6919,-159.64,-4.326,-9.447,9.556,-0.3131,-23.19,0.978907,0.2794,-1.154803872,0.015984474,0.973386586
T29_1018,90.9,incorrect,T29,0,-153.558,-185.657,-12.016,-19.935,-2.888,-0.0265,-55.52,0.372857,0.2274,-1.077718019,0.010279951,-0.20500958
T29_1019,90.9,incorrect,T29,0,-31.5502,-107.137,8.36,5.389,-4.168,0.2378,-21.58,0.607416,0.5391,-1.040869832,0.004977934,1.816773534
T29_102,90.9,acceptable,T29,1,-149.7825,-310.586,-5.693,-47.443,12.728,-0.2765,-55.45,1.283395,0.253,1.601542354,0.153572023,-1.700615644
T29_1020,90.9,incorrect,T29,0,-75.52006,632.389,256.73,16.061,-0.5,0.1033,0.9,0.567644,0.314,-0.710189044,0.06510441,1.950117946
T29_1022,90.9,"clashes,incorrect",T29,0,-98.4259,3275.3,1008.283,52.381,0.091,0.2019,-19.25,-0.365032,0.6502,-1.914561152,0.010279951,1.786996603
T29_1023,90.9,incorrect,T29,0,-70.2909,-190.568,-0.349,-8.004,-0.563,-0.0338,-3.4,0.706931,0.2926,-1.598359108,0.007256295,1.918966889
T29_1024,90.9,incorrect,T29,0,-69.9103,-155.217,-0.045,0.327,2.853,-0.1015,-1.48,0.738543,0.3544,-0.32219705,0.037390154,1.917993665
T29_1025,90.9,incorrect,T29,0,-92.55388,5.42535,58.919,-14.843,3.401,-0.1465,-49.66,1.091378,0.3445,0.12572819,0.00997634,-0.001573324
T29_1026,90.9,incorrect,T29,0,-26.49468,-19.4408,27.864,2.843,-2.621,-0.0077,1.04,0.206903,0.2541,-0.377698958,0.008818208,1.955739379
T29_1027,90.9,"clashes,incorrect",T29,0,-41.13703,3440.56,907.475,7.78,-11.151,0.339,-92.48,-0.377445,0.2274,-0.641725183,0.010279951,1.762632132
T29_1028,87.8,incorrect,T29,0,-107.2594,-229.879,-1.104,-36.676,15.657,-0.3533,-60.77,1.086438,0.2274,1.544689775,0.010279951,-0.026016474
T29_1029,88.3,incorrect,T29,0,-49.675888,-107.582,-3.38,-0.894,-3.763,-0.1041,22.91,0.457794,0.2274,-0.97194159,0.00483722,1.916894436
T29_103,90.9,incorrect,T29,0,-44.12112,1854.23,563.569,22.297,-7.696,0.4464,10.42,0.179727,0.2902,-1.220585465,0.010279951,-0.753798544
T29_1030,90.9,incorrect,T29,0,-79.6082,306.383,182.348,-23.602,4.694,-0.0606,-68.3,0.83584,0.2788,0.962352097,0.010279951,1.028364897
T29_1031,88.3,incorrect,T29,0,-75.61281,-67.718,-1.324,-11.506,-1.466,-0.0202,8.53,0.466894,0.2274,-0.533518195,0.00778838,1.933650136
T29_1032,90.9,incorrect,T29,0,-119.629,-183.288,-5.904,-24.97,3.014,-0.1468,-8.23,0.553404,0.3104,0.014730726,0.010279951,1.18630898
T29_1033,90.9,"clashes,incorrect",T29,0,-87.92189,2655.34,693.724,2.689,-6.267,0.2626,-60.52,-0.329453,0.4349,-0.913216949,0.010279951,1.827816606
T29_1034,90.9,acceptable,T29,1,-110.2994,581.155,295.064,-40.098,13.755,-0.063,-77.58,1.128216,0.2346,1.288228989,0.168182343,0.548395276
T29_1035,90.9,incorrect,T29,0,-84.7978,1901.99,462.288,17.282,-5.403,0.2589,-49.83,0.214067,0.2274,-1.515245318,0.010279951,0.043566227
T29_1036,90.9,incorrect,T29,0,-78.464,696.708,235.024,6.014,-7.675,0.0942,-22.23,0.567009,0.3566,-0.729178369,0.018696189,1.431216955
T29_1037,90.9,"clashes,incorrect",T29,0,-61.9807,4801.24,1458.572,-14.478,11.114,-0.1263,-169.09,0.322332,0.2795,0.236973181,-0.216071159,1.376913071
T29_1038,90.9,incorrect,T29,0,-144.3839,-239.18,-4.906,-31.491,10.198,-0.2746,-62.99,1.365882,0.2785,0.507748365,0.018995749,0.811310947
T29_1039,90.9,incorrect,T29,0,-68.0901,181.729,104.653,-20.267,4.183,-0.0727,-52.95,0.891648,0.2274,-1.626639009,-0.205346644,1.077524424
T29_104,90.9,acceptable,T29,1,-99.8157,524.831,343.108,-19.923,9.775,-0.1163,-78.49,0.801437,0.3007,0.766295195,0.060455199,-0.049233913
T29_1040,90.9,incorrect,T29,0,-82.27465,527.187,80.809,-6.576,3.123,-0.0097,-62.58,0.750565,0.2274,-1.274632335,0.009600329,0.929989159
T29_1042,90.9,incorrect,T29,0,-137.883,-240.031,-3.409,-25.704,11.115,-0.166,-60.93,1.33123,0.2706,0.269382566,0.0239855,-0.23532176
T29_1043,90.9,incorrect,T29,0,-53.822079,211.772,57.769,5.956,0.483,0,0.97,0.467014,0.2534,-0.833131433,0.010279951,1.937733889
T29_1044,90.8,"clashes,incorrect",T29,0,-116.25341,2272.49,550.703,4.132,5.626,0.2898,-77.82,0.594261,0.3845,-2.598989964,0.00425111,-1.063335419
T29_1045,90.9,incorrect,T29,0,-153.1442,-139.618,-5.486,-38.214,5.445,-0.1195,-38.44,0.691077,0.3661,0.536109388,0.00997634,0.998274684
T29_1046,90.9,incorrect,T29,0,-92.3,-187.711,-4.55,-18.569,5.044,-0.1881,-19.31,0.512744,0.2288,-1.209561586,0.111610778,0.131709695
T29_1047,90.9,medium,T29,1,-94.2426,81.119,128.387,-44.051,12.257,-0.2798,-82.8,1.315824,0.2624,0.869787216,0.014465227,-0.00983417
T29_1048,90.9,acceptable,T29,1,-141.9053,-316.005,-3.548,-40.987,9.963,-0.3263,-73.35,1.227847,0.2848,1.219388604,0.123471327,-1.727261305
T29_1049,90.9,incorrect,T29,0,-94.7615,-186.229,2.271,-14.085,2.721,0.0531,-49.77,1.214593,0.4526,-0.156550735,0.004768928,-0.188783407
T29_105,90.9,"clashes,incorrect",T29,0,-72.02486,2385.49,553.332,23.672,-9.753,0.3116,-37.84,-0.064767,0.3894,-0.738060653,0.010279951,1.904399872
T29_1050,90.9,incorrect,T29,0,-76.13664,-103.829,-4.767,-32.041,6.32,-0.1531,-20.58,1.014402,0.265,0.052555561,0.027479526,1.238100648
T29_1051,90.9,incorrect,T29,0,-89.16304,524.212,76.266,-36.714,4.111,0.0724,-55.83,0.968726,0.2274,-0.324305624,0.010279951,0.668815672
T29_1052,94.5,medium,T29,1,-108.4601,23.9697,139.591,-34.382,12.395,-0.0985,-65.05,1.256563,0.2691,1.197051525,0.09924031,0.031863332
T29_1053,90.9,incorrect,T29,0,-153.05153,-204.766,-16.499,-46.397,5.193,-0.1442,-87.9,0.981996,0.2274,-0.60644567,0.010279951,-1.771117926
T29_1054,90.9,incorrect,T29,0,-44.67918,-53.7667,-3.01,-3.805,4.134,0.0021,-17.11,0.331348,0.2891,-1.137155652,0.009196445,0.909372449
T29_1055,88.3,incorrect,T29,0,-77.8162,-11.0198,31.911,-17.501,-0.742,0.137,-7.49,0.576378,0.2335,-0.018271947,0.001132902,1.757532477
T29_1057,94.5,incorrect,T29,0,-97.6446,-84.1594,-2.979,-22.612,1.566,0.0154,-22.42,0.824003,0.2274,-0.621714175,0.010279951,1.096021652
T29_1058,90.9,incorrect,T29,0,-75.7787,-89.7402,4.331,4.209,-1.083,-0.1187,4.78,0.613247,0.2274,-1.129369259,0.006825594,0.83654654
T29_1059,90.8,incorrect,T29,0,-86.117,211.582,108.346,-0.226,2.284,-0.194,-9.46,0.605053,0.2446,-0.691715181,0.085415728,1.956175089
T29_106,90.9,incorrect,T29,0,-96.5523,1506.6,367.298,14.101,-10.092,0.2848,-33.62,0.596185,0.5067,-1.254999399,0.010279951,0.883927643
T29_1060,88.3,incorrect,T29,0,-41.23373,-77.1753,44.654,-6.077,5.912,-0.0944,-21.07,0.967279,0.2328,1.429503441,0.021289766,1.106306553
T29_1061,88.3,incorrect,T29,0,-52.36109,1030.26,200.612,-11.689,4.701,0.2743,-12.92,0.577441,0.2297,0.764162183,0.044421595,1.950440645
T29_1062,90.9,incorrect,T29,0,-140.6831,-146.793,-6.263,-36.081,3.583,-0.2345,-51.79,0.76865,0.3204,0.815749764,0.022351407,0.100600362
T29_1063,90.9,acceptable,T29,1,-156.9497,-282.393,-9.735,-46.304,9.884,-0.2752,-71.91,1.157628,0.2857,1.167133451,0.3696917,-1.53642714
T29_1064,90.9,incorrect,T29,0,-67.02158,-22.2979,9.892,-5.05,-8.316,0.1349,16.53,0.435779,0.2274,-1.078620672,0.010279951,1.920290351
T29_1065,88.3,incorrect,T29,0,-68.06406,595.761,123.265,-12.386,5.751,0.0672,-0.33,0.670574,0.2324,-0.35665372,0.008633157,1.94581449
T29_1066,94.5,incorrect,T29,0,-40.10714,714.602,147.255,-18.682,1.723,0.0315,1.15,0.328008,0.2492,1.272402644,0.00997634,1.953969955
T29_1067,88.2,incorrect,T29,0,-48.661,-99.8493,5.316,-14.435,4.8,-0.067,1.54,0.442107,0.2274,0.743135929,0.00853683,1.961689353
T29_1068,88.3,incorrect,T29,0,-87.72022,-137.892,-1.795,-15.913,2.077,-0.1464,2.23,0.611465,0.2274,-0.652839482,0.005652584,1.794100523
T29_107,88.3,incorrect,T29,0,-75.44665,-77.0112,0.78,-1.094,-8.257,-0.0455,5.18,0.242186,0.2274,-0.225246578,0.005975302,1.630801558
T29_1070,88.3,incorrect,T29,0,-54.44481,961.666,308.662,1.465,3.154,0.0255,0.43,0.394568,0.2274,0.544773817,0.010279951,1.684249282
T29_1071,90.9,incorrect,T29,0,-135.88311,-200.875,-11.042,-28.459,11.697,-0.1268,-49.3,1.095106,0.3572,-1.02080667,0.010279951,0.031426311
T29_1072,90.9,incorrect,T29,0,-69.73638,728.673,244.36,-6.031,2.993,-0.1226,-56.64,0.891515,0.3129,-0.16171205,0.010279951,0.517402291
T29_1073,90.9,"clashes,incorrect",T29,0,-58.0406,5272.92,1426.162,7.008,6.955,-0.027,-87.36,-0.287899,0.2287,-1.453521252,-0.352420628,1.61155808
T29_1074,88.3,incorrect,T29,0,-68.8408,-158.955,-3.159,-1.999,-2.876,-0.1054,7.25,0.610451,0.3167,-2.86521101,-0.013276489,1.952557802
T29_1075,90.9,incorrect,T29,0,-57.605975,-159.037,-0.633,-12.554,0.707,0.1295,-28,0.281309,0.5613,-0.050906572,0.00415481,1.647510767
T29_1076,88.3,incorrect,T29,0,-55.71446,52.4002,100.988,-4.918,5.219,-0.0044,11.03,0.671463,0.2274,0.594348311,0.032220062,1.942710638
T29_1077,90.9,incorrect,T29,0,-58.85738,-224.331,2.398,-5.119,2.082,-0.1449,-11.04,0.875453,0.2668,-0.867631257,0.010279951,1.913701773
T29_1078,94.5,incorrect,T29,0,-78.12116,330.027,145.739,-22.572,4.761,-0.0637,-56.83,0.445329,0.2274,-0.1849989,0.017081346,1.800970554
T29_1079,87.8,incorrect,T29,0,-117.2204,-243.116,-4.678,-40.454,15.19,-0.255,-57.76,1.010423,0.2274,1.325397849,0.024369091,-0.086913943
T29_108,90.9,incorrect,T29,0,-130.0012,3254.04,944.965,0.645,-0.43,0.1702,-40.05,0.164142,0.2274,-0.964393795,0.021017022,1.357468605
T29_1080,90.9,incorrect,T29,0,-42.01846,297.179,131.926,-12.608,1.322,0.1083,-34.06,0.265524,0.2951,-0.905738771,0.008560618,-0.046319008
T29_1081,90.9,incorrect,T29,0,-158.43161,-192.134,-11.982,-23.053,3.744,-0.1287,-30.85,0.784459,0.2274,-1.35661602,0.010279951,0.014153957
T29_1082,90.9,medium,T29,1,-178.5647,-343.599,-6.555,-51.834,14.077,-0.3352,-70.5,1.657496,0.2372,1.691908002,0.413550168,-0.426543236
T29_1083,90.9,"clashes,incorrect",T29,0,57.47,7964.11,1784.736,39.743,-4.75,0.5841,-59.35,-1.008428,0.2274,-1.145822883,0.017131997,1.687768817
T29_1084,90.9,incorrect,T29,0,-58.32516,-198.837,8.903,-10.425,4.594,-0.1066,-71.49,1.02534,0.3868,0.259037554,0.001619725,-1.494884968
T29_1085,90.9,incorrect,T29,0,-86.5426,-142.466,-4.962,-5.939,10.172,-0.0885,-29.86,0.689201,0.2322,0.109920643,0.009226399,0.948185265
T29_1086,90.9,incorrect,T29,0,-72.8038,-211.694,3.385,-13.387,0.321,-0.0255,-53.37,1.041883,0.5565,-1.387644768,0.065443754,-0.018717885
T29_1087,90.9,incorrect,T29,0,-54.276114,47.3101,110.036,-4.849,5.083,-0.0943,-42.14,0.667287,0.2522,-0.002975373,0.05045623,1.732239723
T29_1088,90.9,"clashes,incorrect",T29,0,-11.73598,3852.23,995.054,34.921,-6.777,0.2139,-43.19,-0.273693,0.2436,-0.417433649,0.010279951,1.043575525
T29_1089,90.9,incorrect,T29,0,-173.50132,-236.886,-14.194,-26.42,2.448,0.107,-49.53,1.119771,0.2274,0.022777887,0.010279951,-1.440992117
T29_1091,90.9,incorrect,T29,0,-92.218,2689.86,529.597,9.009,-4.863,0.0548,-87.35,0.58447,0.2723,-0.99419266,0.010279951,-0.145329833
T29_1092,90.9,"clashes,incorrect",T29,0,-59.7694,3238.59,862.232,-28.442,10.691,-0.0386,-115.2,0.410564,0.2607,0.274062663,0.155355692,1.403390884
T29_1093,90.9,incorrect,T29,0,-45.270341,1611.26,481.175,12.981,-0.079,-0.057,-50.46,0.409554,0.6278,-0.75251323,0.010279951,-1.433525205
T29_1094,90.9,"clashes,incorrect",T29,0,116.44211,7065.58,1804.722,25.356,1.735,-0.195,-189,-0.423951,0.2435,-0.298870385,0.025889037,0.042559743
T29_1095,94.5,incorrect,T29,0,-122.06433,-252.487,-4.865,-19.725,6.799,-0.2174,-52.54,1.128132,0.3835,-0.154352605,0.006080132,0.03114903
T29_1096,90.7,incorrect,T29,0,-42.500949,-25.7164,0.901,-7.866,0.6,-0.0414,-6.91,0.300352,0.2274,-0.909132719,0.01020409,1.954156876
T29_1097,90.9,"clashes,incorrect",T29,0,-39.05401,5851.48,1587.458,10.562,1.484,-0.2641,-174.18,0.086507,0.2274,0.224206641,0.015873151,1.379640579
T29_1098,90.9,incorrect,T29,0,-58.5665,-138.394,1.053,-0.974,1.474,-0.0631,11.1,0.457823,0.2274,-1.07711935,0.010279951,1.96098125
T29_1099,90.9,acceptable,T29,1,-158.2226,-361.041,-8.282,-41.406,12.965,-0.1917,-80.59,1.328269,0.2856,1.234391332,0.282161802,-1.731914639
T29_11,90.9,incorrect,T29,0,-118.0037,-229.964,-4.695,-8.761,12.2,-0.4233,-45.31,0.920421,0.3801,-0.46540916,0.014129784,1.013526201
T29_1100,90.9,"clashes,incorrect",T29,0,-45.96037,6125.77,1646.332,46.366,1.837,0.3758,-25.54,-0.885935,0.2728,-0.561253011,0.00997634,1.91908741
T29_1101,90.9,"clashes,incorrect",T29,0,30.51291,5138.95,1640.766,15.684,1.792,0.0552,-193.48,0.435693,0.2669,0.121684588,0.010279951,1.912169933
T29_1102,90.9,incorrect,T29,0,-81.6415,-174.843,7.419,5.044,-2.018,0.2291,3.06,0.487495,0.3817,-2.156935215,0.010279951,1.950393558
T29_1103,90.9,incorrect,T29,0,-70.52006,2171.92,367.541,-7.171,2.027,0.0287,-36.91,0.615591,0.2816,-2.500063896,0.034087341,0.84935236
T29_1104,90.9,incorrect,T29,0,-83.0268,-177.448,-3.372,-10.856,0.081,-0.0908,4.51,0.802672,0.3241,-2.423556328,0.010279951,1.948979139
T29_1105,94.5,incorrect,T29,0,-63.40264,524.194,141.248,-23.241,4.774,-0.0462,-39.01,0.632649,0.2274,1.052905917,0.010279951,1.635135651
T29_1106,90.9,incorrect,T29,0,-61.35589,-119.285,7.768,-11.475,-5.557,0.0942,-64.75,0.727461,0.3295,-0.557338655,0.005492629,-1.640668869
T29_1107,90.9,incorrect,T29,0,-75.9792,103.552,84.507,-19.762,1.838,0.0256,-62.27,0.884974,0.2274,0.764378011,0.010279951,0.000593185
T29_1109,90.9,incorrect,T29,0,-71.242247,-133.792,-1.901,-10.085,10.249,-0.0051,-2.22,0.518631,0.2743,-0.901594222,0.010279951,1.586893559
T29_111,90.9,acceptable,T29,1,-168.9742,-350.696,-9.576,-54.431,13.011,-0.2973,-82.13,1.243243,0.2682,1.305845499,0.179739743,-1.81325841
T29_1110,90.9,incorrect,T29,0,-80.8883,447.067,159.654,2.06,-3.86,-0.1167,-19.68,0.249501,0.2576,-2.066600084,0.010279951,1.92722106
T29_1111,90.9,incorrect,T29,0,-125.2488,-204.802,-11.832,-42.002,8.126,0.073,-45.48,1.237661,0.3389,1.095003963,0.01945686,-1.195278645
T29_1112,90.9,"clashes,incorrect",T29,0,-64.6631,2864.96,809.352,9.383,-5.476,0.2272,-34.41,0.017251,0.6858,-0.778747201,0.010279951,1.952772141
T29_1113,90.7,incorrect,T29,0,-88.162,-181.212,-3.965,-33.415,10.998,-0.1926,-75.26,1.099818,0.2274,0.753382981,-0.242353573,-1.581742406
T29_1114,90.9,incorrect,T29,0,-55.022143,1206.84,288.915,10.146,-2.478,0.0058,-14.41,0.302197,0.3184,-0.486508578,0.010279951,0.501887679
T29_1115,90.9,"clashes,incorrect",T29,0,-36.15984,4512.11,1240.378,42.477,-11.33,0.0931,-53.82,-1.093492,0.3248,-0.382031888,0.010279951,1.486458778
T29_1116,90.9,incorrect,T29,0,-60.5759,-135.298,-3.695,-1.269,-3.634,-0.152,-13.72,0.51273,0.2825,1.328081012,0.010279951,0.675385416
T29_1117,90.9,"clashes,incorrect",T29,0,-57.199186,2392.5,677.786,-2.032,2.815,0.0164,-65.81,0.130012,0.2477,-2.092710972,0.010279951,0.776567221
T29_1118,88.2,incorrect,T29,0,-121.1082,-237.257,-6.629,-49.957,7.398,-0.1764,-20.33,0.587177,0.2274,1.012774944,0.010279951,1.267693996
T29_1119,94.5,incorrect,T29,0,-67.64265,-100.439,-2.131,-19.032,-0.748,-0.1965,-22.4,0.544899,0.2896,-0.456854552,0.004257795,1.832155347
T29_112,88.3,incorrect,T29,0,-67.56148,-48.0561,20.069,-19.437,4.718,-0.1698,-19.12,0.574109,0.2359,0.722365975,0.010279951,1.252437711
T29_1120,90.9,medium,T29,1,-166.2731,-327.617,-2.689,-44.635,16.85,-0.2344,-75.89,1.552757,0.2365,1.47587657,0.220344543,-0.426886678
T29_1121,90.9,incorrect,T29,0,-43.25549,3423.95,771.459,5.056,-9.986,0.2142,-23.09,-0.25925,0.3104,-0.829812586,0.010279951,1.427223444
T29_1122,90.9,"clashes,incorrect",T29,0,44.57828,8087.08,2308.195,47.128,-1.642,0.1927,-240.18,-0.46867,0.2274,0.159816876,0.010279951,-1.466898441
T29_1123,90.9,incorrect,T29,0,-46.80612,716.895,279.034,4.056,0.641,-0.0087,-28.59,0.198963,0.2645,-0.465487599,0.010279951,1.951575279
T29_1125,88.3,incorrect,T29,0,-59.97464,750.613,275.523,-3.032,6.309,0.0518,-19.6,0.83612,0.2299,1.013923407,0.015716504,0.057522297
T29_1126,90.8,incorrect,T29,0,-75.94944,741.834,213.79,-2.01,-5.329,0.2287,-21.61,0.305665,0.2925,-1.191283345,0.004894555,1.817110419
T29_1127,90.9,incorrect,T29,0,-91.0952,-111.766,-3.93,2.866,0.761,-0.2114,-22.19,0.457279,0.3517,-1.359209538,0.010279951,1.793002486
T29_1128,90.9,incorrect,T29,0,-71.4685,687.348,168.593,-21.55,2.593,-0.2098,-61.85,0.998446,0.2274,-0.446079373,0.017339231,1.419151545
T29_1129,90.9,"clashes,incorrect",T29,0,-37.0112,5602.81,1437.992,27.334,-7.357,0.2926,-144.89,-0.3827,0.2287,-1.165799856,0.010279951,1.495240808
T29_113,90.9,incorrect,T29,0,-55.85395,1081.5,313.976,16.589,-1.997,0.2241,-2.66,0.319328,0.4777,-1.014913082,0.006749072,1.933559537
T29_1130,90.9,"clashes,incorrect",T29,0,30.07628,5305.26,1314.139,25.644,-2.977,0.3823,-70.07,-0.912701,0.2274,-0.727730036,0.010279951,1.951305985
T29_1131,90.9,incorrect,T29,0,-74.5811,-150.101,2.091,19.073,-1.631,-0.1748,13.89,0.893371,0.2274,-0.587602913,0.010279951,1.768670917
T29_1132,88.3,incorrect,T29,0,-52.07789,-15.3767,25.875,-15.69,4.49,-0.0971,-6.43,0.714255,0.2274,0.791301191,0.015260733,1.834793329
T29_1133,88.3,incorrect,T29,0,-56.94992,-25.035,9.977,-12.49,1.317,0.125,6.13,0.536052,0.2442,-0.020683734,0.010279951,1.333699942
T29_1134,88.3,incorrect,T29,0,-39.44061,-166.923,-1.245,0.781,-0.779,-0.0612,26.77,0.287949,0.2274,-2.130059481,0.002351002,1.923660755
T29_1135,94.5,incorrect,T29,0,-48.62982,815.047,198.767,-24.983,-3.931,0.1652,-36.28,0.246675,0.2678,-1.307635427,0.010279951,1.661144257
T29_1136,88.3,incorrect,T29,0,-78.2118,2629.24,511.237,-8.018,2.063,0.1291,-13.3,0.251488,0.2297,0.17960158,0.075124472,1.111850262
T29_1137,90.9,incorrect,T29,0,-87.33079,709.533,273.001,-19.696,-3.29,-0.0166,-36.5,0.566242,0.5748,-0.566777587,0.010279951,1.841716766
T29_1138,90.9,incorrect,T29,0,-71.73319,396.814,160.671,-7.772,-2.538,-0.0745,-40.83,0.416844,0.2274,-1.368311048,0.164040416,0.562878132
T29_1139,90.9,incorrect,T29,0,-59.77137,933.632,277.53,-3.067,2.965,-0.2888,-41.54,0.491801,0.2274,-0.943329453,0.006749072,0.841717541
T29_114,88.2,incorrect,T29,0,-9.89749,86.5589,66.06,8.753,0.265,0.1496,26.85,0.06121,0.2274,-0.535823882,0.007238705,1.951369405
T29_1140,88.3,incorrect,T29,0,-61.18193,-106.349,-1.2,-4.799,-4.071,0.0727,-7.84,0.118439,0.23,-0.95129931,0.004992995,1.934142947
T29_1141,90.9,incorrect,T29,0,-36.5424,-55.1051,4.506,9.134,-0.168,0.0975,-30.38,0.616132,0.6163,-0.799069047,0.014201481,0.184188485
T29_1142,90.9,incorrect,T29,0,-19.2483,175.883,86.749,23.482,0.73,0.1432,39.07,0.356783,0.3753,-1.680136085,0.010279951,1.888255715
T29_1143,90.9,incorrect,T29,0,-97.42534,-171.919,-5.01,-23.88,4.537,0.067,-11.23,0.933783,0.2856,-0.285352379,0.010279951,0.26334703
T29_1144,90.9,incorrect,T29,0,-85.35088,248.104,184.042,-20.286,2.445,-0.1838,-47.27,0.804848,0.2535,-0.279467762,0.010279951,1.482285142
T29_1145,90.5,medium,T29,1,-165.6251,-356.11,-8.334,-51.8,15.123,-0.3455,-83.69,1.478937,0.2274,0.952128291,0.010838242,-1.310508609
T29_1146,90.9,medium,T29,1,-165.1998,-338.866,-6.289,-52.917,13.773,-0.3562,-80.38,1.719188,0.2623,1.08783865,0.229886547,-0.242984533
T29_1147,90.9,incorrect,T29,0,-54.15303,29.2425,91.706,-16.802,4.589,0.0217,-48.58,0.67501,0.2274,-1.167978406,0.115458034,1.564015627
T29_1148,90.9,incorrect,T29,0,-85.0252,652.265,271.684,-19.525,1.953,-0.165,-51.73,0.696254,0.3128,-0.212712243,0.010279951,1.564947963
T29_1149,90.9,incorrect,T29,0,-62.8834,384.176,196.233,-2.459,2.269,-0.051,-51,0.646605,0.3552,-0.868055344,0.053156536,-0.875760198
T29_115,90.9,incorrect,T29,0,-110.396957,-92.9303,-5.851,-12.546,-1.422,0.0118,-20.75,0.807861,0.6485,0.111071259,0.005242376,1.380981922
T29_1150,90.9,medium,T29,1,-173.9769,-303.472,-5.471,-49.638,18.343,-0.3419,-68.74,1.636719,0.2318,1.386262536,0.045702692,-0.168354154
T29_1152,90.9,incorrect,T29,0,-89.58229,473.447,245.93,-11.846,8.24,0.1534,-50.06,1.115234,0.2858,1.069213033,0.039471876,1.032812119
T29_1153,88.3,incorrect,T29,0,-33.8161,166.684,28.324,11.494,-3.06,0.1234,35.08,0.463474,0.3029,-2.06291604,0.003023895,1.948590398
T29_1154,90.9,"clashes,incorrect",T29,0,-66.613537,2769.65,753.851,21.719,3.143,0.133,-53.38,0.522137,0.4853,-0.829653859,0.006749072,1.371547103
