PDB,PID,seqid,label,capri_quality,Unnamed: 5,Unnamed: 6,model,nclash,fnat,fnonnat,lrmsd,irmsdbb,irmsdsc,distance,theta,classification,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,DeepRank-GNN,GNN-DOVE,dMaSIF,PIsToN,DeepRank,HADDOCK
T29_1022,T29,90.9,0,4,,,T29_1022_conv,121/100,0.0,1.0,41.3596,9.9402,10.0684,37.8459,93.7168,"clashes,incorrect",1497.36,483.25,44.14,0.467,0.1966,-19.15,0.078165,0.077467144,0.0428,-2.035642147,1.79104495,-90680.90234,4152.2201
T29_1023,T29,90.9,0,4,,,T29_1023_conv,3/100,0.0,1.0,63.2182,22.3488,23.6654,61.9689,57.86,incorrect,-190.561,-0.317,-7.688,-0.565,-0.0366,-3.27,0.707115,0.009846078,0.1136,-1.326987982,1.2649014,0.566933632,-74.84171
T29_1024,T29,90.9,0,4,,,T29_1024_conv,10/100,0.0,1.0,42.7083,12.5457,13.3429,33.9942,151.3387,incorrect,-161.077,-0.497,-1.07,2.686,-0.1534,-5.85,0.729353,0.01598068,0.1482,-0.373079747,1.948044062,-4.805310011,-80.61512
T29_1025,T29,90.9,0,4,,,T29_1025_conv,39/100,0.0,1.0,29.8935,14.467,15.5931,15.1973,144.0767,incorrect,-209.862,7.885,-18.087,5.542,-0.1639,-46.36,1.163762,0.021205092,0.0806,0.17973502,0.108894587,1.373461127,-71.8403
T29_1026,T29,90.9,0,4,,,T29_1026_conv,9/100,0.0,1.0,66.977,22.0216,23.5507,61.6866,165.9834,incorrect,-98.0877,2.782,-0.838,-2.524,-0.0397,-5.24,0.246327,0.011818707,0.1115,-0.29946059,1.621127486,-5.939030647,-32.09493
T29_1027,T29,90.9,0,4,,,T29_1027_conv,169/100,0.0,1.0,70.9888,18.7352,20.0858,67.0312,175.1268,"clashes,incorrect",122.495,54.39,-3.926,-10.763,0.256,-75.25,0.533641,0.018005857,0.3669,-0.710882664,-0.589987159,-5.12828207,22.29889
T29_1028,T29,87.8,0,4,,,T29_1028_conv,6/100,0.1282,0.9,14.5698,4.9942,5.5709,8.0837,56.429,incorrect,-247.124,-1.416,-35.872,15.994,-0.376,-59.87,1.086181,0.266372472,0.0871,1.368366361,-1.069234133,1.011778742,-114.9214
T29_1029,T29,88.3,0,4,,,T29_1029_conv,2/100,0.0,1.0,78.7853,24.1368,25.3125,76.011,100.4547,incorrect,-129.073,-3.14,-1.916,-3.744,-0.109,22.15,0.470127,0.00891144,0.0951,-0.747691095,1.941188812,-5.871003628,-41.6699
T29_102,T29,90.9,1,3,,,T29_102_conv,6/100,0.4694,0.6618,5.775,2.2611,2.6506,2.0484,25.0041,acceptable,-318.153,-6.408,-47.24,12.339,-0.2637,-55.1,1.280596,0.226836815,0.179,1.590165138,0.023603439,2.709277868,-149.8226
T29_1030,T29,90.9,0,4,,,T29_1030_conv,47/100,0.0,1.0,28.2435,13.9701,15.1919,8.1463,178.3285,incorrect,-116.637,56.382,-27.543,5.744,-0.1375,-57.36,0.96501,0.012493054,0.1216,1.468761325,0.740133464,3.278820276,-35.525883
T29_1031,T29,88.3,0,4,,,T29_1031_conv,5/100,0.0,1.0,56.2285,15.0642,16.629,49.2703,173.5875,incorrect,-70.2367,-1.623,-11.846,-1.625,-0.0451,6.84,0.480819,-0.014212791,0.0927,-0.497806877,1.867031455,-2.996727109,-79.91933
T29_1032,T29,90.9,0,4,,,T29_1032_conv,5/100,0.0,1.0,29.158,12.589,14.1593,14.725,177.5838,incorrect,-183.301,-5.892,-24.993,3.139,-0.1491,-8.13,0.554008,0.014391428,0.4711,-0.160355091,0.036239386,-0.027127385,-96.04754
T29_1033,T29,90.9,0,4,,,T29_1033_conv,122/100,0.0,1.0,40.2375,13.0454,13.8457,33.9093,132.8763,"clashes,incorrect",24.2846,86.606,-9.354,-5.864,0.1591,-61.27,0.401742,0.018329913,0.3377,-0.593898475,0.80858767,0.712838203,4.45589
T29_1034,T29,90.9,1,3,,,T29_1034_conv,64/100,0.5918,0.5672,7.261,2.1648,2.6043,5.2108,22.4883,acceptable,-233.373,33.838,-48.067,11.743,-0.1543,-64.65,1.395279,0.078130208,0.4358,1.280581951,0.005365729,2.352353096,-90.6658
T29_1035,T29,90.9,0,4,,,T29_1035_conv,82/100,0.0,1.0,75.745,23.6682,24.8542,73.5679,90.2927,incorrect,-3.11736,46.129,6.371,-5.076,0.2345,-45.84,0.811571,0.008776875,0.2075,-1.357558131,0.109646916,2.093878627,-54.11863
T29_1036,T29,90.9,0,4,,,T29_1036_conv,50/100,0.0,1.0,57.9105,18.0815,20.0999,52.1656,134.2956,incorrect,-47.3008,25.753,1.406,-6.778,0.0771,-20.14,0.797712,0.006573921,0.7494,-0.826610744,0.031071067,-7.068118572,-14.6853
T29_1037,T29,90.9,0,4,,,T29_1037_conv,190/100,0.0612,0.9674,24.012,9.5855,10.3864,6.336,124.1753,"clashes,incorrect",385.268,166.915,-31.971,9.341,-0.2586,-144.15,1.579927,0.379622102,0.2352,0.444341332,-1.660185218,1.928494573,157.2555
T29_1038,T29,90.9,0,4,,,T29_1038_conv,10/100,0.1224,0.8723,18.3107,6.3419,6.829,9.6876,69.6872,incorrect,-251.762,-5.162,-31.325,10.211,-0.2863,-67.1,1.35967,0.016014542,0.0754,0.443241626,-0.596000791,2.811610937,-129.4056
T29_1039,T29,90.9,0,4,,,T29_1039_conv,32/100,0.0,1.0,31.0496,9.2838,9.8746,29.7227,47.1212,incorrect,-139.606,7.969,-25.117,4.582,-0.063,-51.61,0.993521,0.023397699,0.4702,-1.323508143,0.871961713,-2.135769576,-67.0197
T29_103,T29,90.9,0,4,,,T29_103_conv,76/100,0.0,1.0,62.2116,21.0456,23.1333,60.6338,65.5161,incorrect,77.9542,68.577,8.38,-5.561,0.2518,11.49,0.599577,-0.006374303,0.2051,-1.261325717,0.706270397,0.556533962,66.04027
T29_1040,T29,90.9,0,4,,,T29_1040_conv,31/100,0.0,1.0,41.7516,12.868,13.392,39.8955,53.834,incorrect,-46.7433,14.631,-6.824,3.018,-0.0192,-57.57,0.847267,0.464374453,0.2676,-0.711578488,1.154009581,1.067127019,-64.86636
T29_1042,T29,90.9,0,4,,,T29_1042_conv,10/100,0.1224,0.8605,18.4791,6.7813,7.1743,10.1937,68.7217,incorrect,-238.27,-3.233,-26.951,11.298,-0.1544,-62.51,1.326167,0.016630046,0.077,0.268607348,-0.943140447,1.659087539,-122.7202
T29_1043,T29,90.9,0,4,,,T29_1043_conv,35/100,0.0,1.0,82.2343,22.5148,23.0002,79.0264,176.8788,incorrect,-28.1367,6.456,3.602,0.955,0.0289,-0.4,0.564338,0.008202128,0.1464,-1.134417057,1.950730085,-2.064960003,-14.88186
T29_1044,T29,90.8,0,4,,,T29_1044_conv,106/100,0.0,1.0,55.72,19.9197,20.5997,49.7316,144.2518,"clashes,incorrect",-180.528,29.952,-14.95,4.894,0.0424,-68.22,1.255387,0.129468352,0.1621,-2.19549036,0.692774773,1.056731373,-49.56594
T29_1045,T29,90.9,0,4,,,T29_1045_conv,1/100,0.0,1.0,27.2605,11.6599,12.9796,5.838,175.9037,incorrect,-140.591,-5.484,-38.225,5.649,-0.1236,-38.07,0.690263,0.024470516,0.1783,0.516925037,0.052013397,3.418246508,-131.3865
T29_1046,T29,90.9,0,4,,,T29_1046_conv,5/100,0.0,1.0,44.945,11.0882,11.6168,42.6913,76.825,incorrect,-182.66,-4.506,-18.682,4.701,-0.2328,-20.71,0.532868,0.113192141,0.1057,-1.064431787,0.576971769,-0.220581084,-75.36538
T29_1047,T29,90.9,1,2,,,T29_1047_conv,39/100,0.551,0.4,3.9566,1.3423,1.9093,1.9956,14.0661,medium,-220.143,23.664,-48.602,11.721,-0.2992,-76.3,1.457641,0.055640679,0.2177,0.81070286,-0.341463685,0.760066062,-92.37038
T29_1048,T29,90.9,1,3,,,T29_1048_conv,7/100,0.3673,0.6786,8.4755,2.9978,3.3921,5.182,31.6695,acceptable,-336.957,-2.611,-40.633,10.124,-0.3078,-71.56,1.211705,0.220124632,0.469,1.286577463,-1.661815882,3.605026007,-147.6988
T29_1049,T29,90.9,0,4,,,T29_1049_conv,22/100,0.0,1.0,37.7335,18.3368,19.2726,26.8164,153.0784,incorrect,-142.349,23.303,-12.036,3.593,0.0951,-50.85,1.214671,0.020559277,0.0965,-0.236158445,0.669054806,1.362664372,-91.23358
T29_104,T29,90.9,1,3,,,T29_104_conv,69/100,0.1224,0.8983,14.5559,3.8129,4.1864,12.4396,32.0155,acceptable,-284.233,14.996,-27.513,9.551,-0.1743,-65.47,1.05339,0.391379505,0.0844,0.95069468,0.730585039,1.993638992,-86.4538
T29_1050,T29,90.9,0,4,,,T29_1050_conv,4/100,0.0408,0.9574,45.3605,11.0664,12.5896,38.9332,115.9036,incorrect,-105.337,-4.788,-31.701,6.202,-0.1452,-21.08,1.014626,0.020237194,0.2011,0.323392689,1.311649084,-0.274025172,-79.14682
T29_1051,T29,90.9,0,4,,,T29_1051_conv,25/100,0.0612,0.9492,41.905,11.6384,12.744,34.2381,128.6428,incorrect,-45.5425,3.361,-37.377,4.839,-0.012,-63.29,1.106644,0.035651151,0.5458,-0.264838427,0.784109712,2.513766408,-68.51906
T29_1052,T29,94.5,1,2,,,T29_1052_conv,40/100,0.65,0.5185,5.145,1.6457,2.1032,4.2576,12.9388,medium,-279.468,26.483,-38.937,11.318,-0.1875,-58.74,1.304508,0.480675578,0.4121,1.608502507,0.027134776,2.389802575,-81.9029
T29_1053,T29,90.9,0,4,,,T29_1053_conv,18/100,0.0,1.0,63.1645,19.1721,20.254,59.9977,108.1823,incorrect,-189.478,-12.976,-44.288,5.625,-0.0963,-78.41,0.976179,0.250340283,0.1925,-0.530997992,-0.183038592,3.334709406,-168.91799
T29_1054,T29,90.9,0,4,,,T29_1054_conv,11/100,0.0,1.0,50.8889,18.8002,19.473,43.2533,173.3848,incorrect,-34.4345,0.945,-4.199,3.924,0.0342,-16.9,0.356748,0.010660381,0.0997,-1.53441298,1.309583187,-1.472857714,-34.72803
T29_1055,T29,88.3,0,4,,,T29_1055_conv,21/100,0.0,1.0,23.6653,9.8844,10.5826,11.7595,111.2438,incorrect,-11.3493,31.905,-17.515,-0.742,0.1176,-7.48,0.57636,0.015910171,0.1477,-0.06115615,1.795896173,-23.04232121,530.49494
T29_1057,T29,94.5,0,4,,,T29_1057_conv,4/100,0.025,0.9825,45.7568,9.4119,10.2977,40.039,110.2137,incorrect,-80.0286,-2.65,-22.945,1.188,0.0162,-23.39,0.821132,0.012043661,0.207,-0.142375335,1.137202978,0.298326164,-80.2318
T29_1058,T29,90.9,0,4,,,T29_1058_conv,13/100,0.0,1.0,84.8644,25.1661,26.9255,82.125,102.8732,incorrect,-90.853,1.567,4.824,-1.571,-0.1555,5.24,0.630751,-4.41e-05,0.1036,-1.121270776,-0.319180727,-2.105418801,-88.09884
T29_1059,T29,90.8,0,4,,,T29_1059_conv,34/100,0.0,1.0,36.2899,16.424,16.875,29.0548,151.2484,incorrect,-165.598,23.405,-5.678,2.019,-0.2019,-5.3,0.74713,0.025968781,0.0652,-0.451755732,1.66533637,0.857572436,-65.836952
T29_105,T29,90.9,0,4,,,T29_105_conv,101/100,0.0,1.0,58.5843,23.1972,24.9012,55.7526,86.0099,"clashes,incorrect",87.5757,40.338,8.232,-10.091,0.2122,-28.65,0.556969,0.013014173,0.1937,-0.176796332,0.519698024,3.106922984,-40.05026
T29_1060,T29,88.3,0,4,,,T29_1060_conv,23/100,0.0,1.0,30.8444,14.8037,16.2271,18.0148,160.5779,incorrect,-77.5038,44.64,-6.055,5.907,-0.0935,-21.08,0.967373,0.039620075,0.087,1.350391269,0.504027367,-2.599798143,415.041996
T29_1061,T29,88.3,0,4,,,T29_1061_conv,29/100,0.0,1.0,28.5771,14.1842,14.6257,12.0526,161.9972,incorrect,1030.06,200.58,-11.669,4.693,0.2743,-12.9,0.577558,0.027067941,0.0498,0.896844506,1.958303452,-1200000000000000.0,4842.02976
T29_1062,T29,90.9,0,4,,,T29_1062_conv,4/100,0.0,1.0,27.4098,11.8819,13.2852,7.325,170.1097,incorrect,-146.99,-6.254,-36.033,3.755,-0.2348,-51.67,0.768725,0.042164892,0.1497,0.790510356,0.660866916,3.686199903,-122.6078
T29_1063,T29,90.9,1,3,,,T29_1063_conv,10/100,0.449,0.6986,6.7843,2.5058,2.9163,3.2398,26.6507,acceptable,-276.271,-9.546,-45.249,9.768,-0.2964,-71.88,1.147919,0.016025711,0.2473,1.231270909,-1.66354847,3.490697145,-172.6508
T29_1064,T29,90.9,0,4,,,T29_1064_conv,9/100,0.0,1.0,81.9549,28.1816,29.5085,79.6242,91.1947,incorrect,-19.5417,9.897,-5.046,-8.311,0.1344,16.53,0.435754,0.014552182,0.4948,-1.124401808,1.935663342,-2.058719993,-16.599
T29_1065,T29,88.3,0,4,,,T29_1065_conv,32/100,0.0,1.0,27.3849,13.8019,14.576,13.4625,161.8838,incorrect,596.259,123.231,-12.374,5.756,0.0675,-0.33,0.67061,0.103609324,0.0713,-0.314874589,1.905279636,26381.03223,2950.80577
T29_1066,T29,94.5,0,4,,,T29_1066_conv,27/100,0.0,1.0,39.0268,12.1228,13.2724,28.4363,172.103,incorrect,-78.8171,15.444,-19.335,1.296,-0.0749,7.16,0.53558,0.015309505,0.1157,1.17707634,1.950146556,-0.258279204,-14.7383
T29_1067,T29,88.2,0,4,,,T29_1067_conv,7/100,0.1395,0.7391,19.2968,7.0045,7.9844,9.1698,80.2868,incorrect,-100.334,3.089,-13.872,4.676,-0.0686,-2.08,0.442279,0.007473061,0.0956,0.696717322,1.792976022,-1.913851738,-43.93382
T29_1068,T29,88.3,0,4,,,T29_1068_conv,4/100,0.0,1.0,54.1502,15.269,15.6094,48.4769,139.6191,incorrect,-154.86,-2.342,-15.905,1.536,-0.1149,-0.58,0.621839,0.007495094,0.0713,-0.114751145,1.789669394,-3.368169546,-84.1899
T29_106,T29,90.9,0,4,,,T29_106_conv,81/100,0.0,1.0,69.8195,20.1557,21.0621,64.5692,169.098,incorrect,-49.2769,23.89,7.616,-9.235,0.1526,-38.3,1.060707,0.017132008,0.5783,-1.262595773,0.01893723,1.85480848,-38.149298
T29_1070,T29,88.3,0,4,,,T29_1070_conv,28/100,0.0,1.0,35.6567,15.6327,16.4803,22.8969,177.9112,incorrect,962.062,308.767,1.484,3.145,0.0263,0.41,0.394538,0.020317744,0.0697,0.59288466,1.00720048,33.93066406,6450.32922
T29_1071,T29,90.9,0,4,,,T29_1071_conv,15/100,0.0,1.0,62.4443,21.0348,22.8269,57.4931,173.2478,incorrect,-203.475,-8.869,-26.153,11.442,-0.1014,-49.25,1.094149,0.01216969,0.2136,-0.911445618,-0.524440527,1.422529966,-151.31411
T29_1072,T29,90.9,0,4,,,T29_1072_conv,64/100,0.0,1.0,31.4884,15.0753,16.201,17.6739,146.3752,incorrect,-174.893,40.094,-12.202,3.283,-0.2422,-51.08,1.17644,0.297976851,0.0885,0.018108692,0.22313118,2.037100315,-39.4026
T29_1073,T29,90.9,0,4,,,T29_1073_conv,130/100,0.0612,0.9647,21.6422,6.7176,7.1957,20.9434,29.5016,"clashes,incorrect",2926.27,764.297,-1.956,7.851,0.0239,-68.26,0.342482,0.036232382,0.2509,-1.515238285,1.444172621,20097.55469,8133.254178
T29_1074,T29,88.3,0,4,,,T29_1074_conv,6/100,0.0,1.0,65.9581,21.0995,22.3951,64.2304,66.414,incorrect,-142.939,-3.683,-2.57,-2.372,-0.0894,6.55,0.618818,0.00644343,0.1081,-2.740038157,1.949802756,-0.333621234,-58.41906
T29_1075,T29,90.9,0,4,,,T29_1075_conv,10/100,0.0,1.0,30.5136,10.8472,11.909,23.1689,112.0385,incorrect,-150.854,9.919,-11.724,0.771,0.1186,-29.16,0.277402,0.018901497,0.1361,-0.078065306,1.782626152,2.040027976,-71.80373
T29_1076,T29,88.3,0,4,,,T29_1076_conv,16/100,0.0,1.0,23.3801,13.0667,13.5182,9.2735,137.1082,incorrect,52.5174,101.075,-4.898,5.217,-0.0019,11.09,0.671445,0.018660387,0.0531,0.459826529,1.780697584,161.7447968,1256.56136
T29_1077,T29,90.9,0,4,,,T29_1077_conv,10/100,0.0,1.0,45.6512,18.5463,19.3246,36.4069,174.7928,incorrect,-224.815,4.008,-4.835,2.224,-0.1568,-14.04,0.862499,0.071329065,0.0878,-0.798917949,1.687615514,2.100860238,-79.00362
T29_1078,T29,94.5,0,4,,,T29_1078_conv,50/100,0.075,0.9388,22.64,10.529,11.8537,6.5598,154.1255,incorrect,-115.449,16.858,-24.051,4.217,-0.0417,-50.38,0.612274,0.012404542,0.1877,-0.026885489,1.170016527,1.678523898,-62.57514
T29_1079,T29,87.8,0,4,,,T29_1079_conv,6/100,0.1282,0.902,13.9299,4.8097,5.3988,7.7779,53.3437,incorrect,-233.719,-4.26,-40.089,15.374,-0.231,-56.73,1.016604,0.264123589,0.0868,1.472714782,-1.565071702,-0.317038566,-119.6026
T29_107,T29,88.3,0,4,,,T29_107_conv,7/100,0.0,1.0,81.658,29.2892,29.8296,80.3162,88.4979,incorrect,-100.611,-3.518,-4.535,-8.783,-0.0486,4.85,0.332552,0.009800357,0.2078,-0.288654983,0.058468342,0.164476514,-57.2531
T29_1080,T29,90.9,0,4,,,T29_1080_conv,32/100,0.0,1.0,63.4123,26.0905,27.2804,59.5506,105.6357,incorrect,6.59365,49.825,-15.259,1.58,0.0804,-31.33,0.360951,0.127187312,0.1204,-0.747970343,0.716529608,2.428808212,-19.295511
T29_1081,T29,90.9,0,4,,,T29_1081_conv,14/100,0.0,1.0,83.2044,25.2396,26.3861,78.8196,168.494,incorrect,-202.518,-10.993,-22.231,3.276,-0.1157,-29.45,0.775024,0.017453225,0.6405,-1.358495831,-0.074005008,2.035356164,-162.76088
T29_1082,T29,90.9,1,2,,,T29_1082_conv,8/100,0.7143,0.4262,4.0337,1.123,1.7665,3.3007,9.7711,medium,-346.623,-6.238,-51.499,14.152,-0.3211,-70.89,1.660705,0.471016288,0.141,1.620400429,-1.008803606,1.126881629,-163.9079
T29_1083,T29,90.9,0,4,,,T29_1083_conv,232/100,0.0,1.0,25.8798,13.4631,13.9247,15.7141,137.6455,"clashes,incorrect",405.335,184.128,18.634,-4.822,0.5724,-39.96,0.818893,0.047451761,0.0916,-1.196721554,0.231512666,-4.251712322,239.39394
T29_1084,T29,90.9,0,4,,,T29_1084_conv,24/100,0.0,1.0,23.819,13.1128,13.9163,6.2339,114.1266,incorrect,-154.768,36.53,-9.769,4.491,-0.0331,-69.15,0.985293,0.018525612,0.0716,0.220433265,-1.491554737,2.823290944,-50.93716
T29_1085,T29,90.9,0,4,,,T29_1085_conv,9/100,0.0,1.0,62.405,22.1524,23.9025,60.6473,82.8388,incorrect,-133.006,-4.249,-4.504,9.87,-0.1302,-24.35,0.695313,0.02105323,0.2368,0.089128979,0.891772926,2.909343719,-94.252595
T29_1086,T29,90.9,0,4,,,T29_1086_conv,27/100,0.0,1.0,50.6436,17.9029,18.3712,47.3454,90.3777,incorrect,-174.178,35.941,-11.71,-0.208,-0.0502,-56.54,1.019495,0.014656441,0.0657,-0.573135734,-0.593212605,2.6867553,-30.95224
T29_1087,T29,90.9,0,4,,,T29_1087_conv,19/100,0.0,1.0,28.7772,9.6289,10.459,22.2213,89.71,incorrect,-163.766,22.964,-10.081,4.897,-0.1676,-35.92,0.693281,0.027925245,0.1025,-0.104911387,0.527611017,-0.474955469,-57.4701
T29_1088,T29,90.9,0,4,,,T29_1088_conv,145/100,0.0,1.0,73.4236,24.6362,25.4169,69.0149,157.4433,"clashes,incorrect",150.028,100.402,9.059,-5.675,0.2425,-34.68,0.755828,0.012861311,0.0625,-0.007461541,1.559548616,2.045019746,69.11711
T29_1089,T29,90.9,0,4,,,T29_1089_conv,14/100,0.0,1.0,31.9731,14.4548,15.0732,30.0409,63.9704,incorrect,-236.939,-12.45,-23.056,3.162,0.1711,-46.94,1.117075,0.041865848,0.2292,-0.285850286,-0.029716969,2.112535954,-175.62347
T29_108,T29,90.9,0,4,,,T29_108_conv,83/100,0.0,1.0,51.4629,15.3396,16.0717,45.8478,165.9171,incorrect,-139.592,59.645,-7.882,-0.149,0.1935,-45.62,1.131828,0.041682497,0.6184,-0.713739455,-0.039360404,-0.740443647,-57.21215
T29_1091,T29,90.9,0,4,,,T29_1091_conv,76/100,0.0,1.0,58.8567,18.635,20.3558,54.9011,133.2652,incorrect,504.287,146.745,3.746,-4.902,0.0647,-88.03,0.981593,0.017107856,0.2447,-1.115398645,-1.763786077,8.152893066,2277.15272
