PDB,Input,PID,label,HADDOCK,ZRANK2,ROSETTADOCK,PYDOCK_TOT,SIPPER,AP_PISA,FIREDOCK,CP_PIE,GNN-DOVE,DeepRank-GNN,dMaSIF,PIsToN
1a2k_62,r-l_62,1a2k,0,-146.113,541.541,141.504,19.637,0.197,-0.0425,-6.94,0.356666,0.5997,0.010279951,-0.683806837,1.933934092521668
1a2k_63,r-l_63,1a2k,0,-160.166,471.401,151.327,12.903,-7.928,0.1382,-36.24,0.462343,0.3118,0.010279951,-0.935766637,1.352878451347351
1a2k_64,r-l_64,1a2k,0,-83.42286,2296.75,832.919,15.364,-3.487,0.2603,-90.24,-0.306223,0.2393,0.010279951,-1.132375598,0.3119033575057983
1a2k_65,r-l_65,1a2k,0,-36.86186,2359.02,497.071,-13.151,-7.305,0.0603,-72.71,0.574601,0.2402,0.008892148,-0.576297343,0.08880949
1a2k_66,r-l_66,1a2k,0,-102.413893,777.142,382.162,-2.299,-4.09,-0.0725,-97.57,0.717179,0.2395,0.00800523,-1.122700334,-0.004022717
1a2k_67,r-l_67,1a2k,0,-126.56518,472.713,126.34,-10.306,-6.424,0.056,-52.07,0.410752,0.239,0.000960628,-0.593740225,-0.01210928
1a2k_68,r-l_68,1a2k,0,-145.4957,687.099,197.858,11.632,-4.108,0.1368,-4.85,0.646634,0.5407,0.010279951,-1.052641869,1.882157564163208
1a2k_69,r-l_69,1a2k,0,-76.37171,1776.53,581.048,-12.048,-6.651,0.0689,-123.78,-0.172002,0.2409,0.003782101,-1.090536833,-0.074213862
1a2k_7,r-l_7,1a2k,0,-187.2685,269.917,199.001,-16.272,3.192,0.0664,-72.68,0.345566,0.2393,0.010576879,-1.094663754,0.8386834263801575
1a2k_70,r-l_70,1a2k,0,-150.2497,369.716,196.804,-12.682,-1.814,0.024,-43.48,0.507055,0.5575,0.010279951,-0.837274148,1.024021863937378
1a2k_71,r-l_71,1a2k,0,-31.29264,1853.82,568.739,-5.343,-7.608,-0.1135,-79.86,0.339005,0.2415,0.005420753,-2.146852732,0.3178017139434814
1a2k_72,r-l_72,1a2k,0,-79.428,596.896,267.037,24.439,-2.918,-0.0608,-6.5,0.294144,0.9194,0.010279951,-0.795785487,1.9156137704849243
1a2k_73,r-l_73,1a2k,0,-130.80995,767.18,356.268,-9.186,-3.164,0.0996,-41,0.780241,0.2395,0.009211488,-1.410491228,0.8229819536209106
1a2k_74,r-l_74,1a2k,0,-49.0515,977.851,308.676,16.509,-4.443,-0.1506,-47.45,0.371162,0.239,0.010279951,-0.781154394,1.8565162420272827
1a2k_75,r-l_75,1a2k,0,-103.9848,846.971,258.261,-15.055,-5.865,0.0032,-53.13,0.649947,0.2396,0.010279951,-0.792060253,0.3485174179077148
1a2k_76,r-l_76,1a2k,0,-130.87367,1099.73,224.865,-7.363,-2.482,-0.1091,-51.71,0.944902,0.2397,0.001734317,-0.596792102,0.799137533
1a2k_77,r-l_77,1a2k,0,-130.89583,776.389,207.114,-6.038,0.965,-0.0005,-26.52,0.297162,0.2399,0.010279951,-0.937467217,1.9329137802124023
1a2k_78,r-l_78,1a2k,0,-28.5648,1236.85,462.634,3.147,2.938,-0.0072,-29.49,0.828288,0.2396,0.027366642,-0.971262515,0.949469805
1a2k_79,r-l_79,1a2k,0,-128.2255,689.142,190.398,-10.495,-2.653,-0.1466,-21.91,0.067226,0.825,0.002161646,-0.802836299,1.9518711566925049
1a2k_8,r-l_8,1a2k,0,-184.77997,411.457,202.731,-10.348,0.278,0.06,-56.14,1.097334,0.2394,0.002133567,-1.487879634,1.0613319873809814
1a2k_80,r-l_80,1a2k,0,-141.38902,625.311,215.282,0.701,-3.991,0.011,-47.11,0.341763,0.2548,0.007737295,-0.475371659,1.841244936
1a2k_81,r-l_81,1a2k,0,-172.7708,725.568,155.672,3.801,-6.338,-0.118,-21.95,0.679577,0.6644,0.009119101,-1.899962664,1.9407936334609983
1a2k_82,r-l_82,1a2k,0,-138.43819,1295.4,428.441,-14.839,-3.652,-0.0414,-88.47,-0.208494,0.2404,0.009467577,-1.194613457,-0.077737689
1a2k_83,r-l_83,1a2k,0,43.426152,1925.82,556.788,12.669,-6.013,0.0139,-91.13,0.191792,0.2409,0.002082537,-1.057248235,-0.134393454
1a2k_84,r-l_84,1a2k,0,-150.80029,189.59,66.629,4.557,-0.092,-0.0739,-12.94,0.404008,0.8826,0.010279951,-0.556085527,1.9409172534942627
1a2k_86,r-l_86,1a2k,0,-111.23158,462.44,154.849,10.203,1.939,-0.1539,-20.1,0.555914,0.7791,0.010794446,-0.552685976,1.8108376264572144
1a2k_87,r-l_87,1a2k,0,-154.23271,1560.39,538.372,-6.57,-5.255,0.0006,-109.52,0.603188,0.3533,0.006743059,-1.149105191,0.1405454874038696
1a2k_88,r-l_88,1a2k,0,-80.5497,1302.11,329.833,-23.006,3.252,0.2309,-40.74,0.562619,0.5498,0.010279951,-0.350798041,-0.289288044
1a2k_89,r-l_89,1a2k,0,106.7206,2759.37,938.299,24.378,-13.492,0.3966,-118.03,0.415249,0.2416,0.010279951,-2.579114199,1.579783916473389
1a2k_9,r-l_9,1a2k,0,-143.62254,548.302,246.126,-7.466,-1.4,-0.1947,-66,0.994169,0.2397,0.008847244,-0.860720044,-0.010171771
1a2k_90,r-l_90,1a2k,0,32.2157,1479.77,539.924,4.837,0.175,0.1605,-100.52,0.949389,0.2407,0.009766216,-0.292471051,1.0907286405563354
1a2k_91,r-l_91,1a2k,0,57.05521999999999,2649.34,923.092,-0.731,-2.361,0.1016,-98.25,0.523505,0.2411,0.005134531,-1.124738336,0.6384084224700928
1a2k_92,r-l_92,1a2k,0,1137.215,4640.94,1270.976,-5.157,0.735,0.1315,-135.49,0.194118,0.2423,0.002030258,-1.039996158,0.6074898838996887
1a2k_93,r-l_93,1a2k,0,-109.158,870.772,254.476,22.567,-1.8,-0.0332,20.55,0.188897,0.2417,0.019967142,-0.922993481,1.941383957862854
1a2k_94,r-l_94,1a2k,0,-65.24588,713.658,215.305,-6.948,-4.514,0.0097,-23.5,0.639527,0.2391,0.010279951,-0.585063994,1.2456283569335938
1a2k_95,r-l_95,1a2k,0,10.753059999999994,3711.21,1000.629,-1.094,-3.944,-0.0677,-98.48,0.013584,0.2422,0.009722088,-0.588623226,1.952458978
1a2k_97,r-l_97,1a2k,0,9.3381,2129.52,519.184,12.745,-12.448,0.1155,-132.19,0.719873,0.2404,0.010279951,-0.912701666,-1.309261084
1a2k_98,r-l_98,1a2k,0,-154.016483,1431.66,427.257,-6.638,-5.881,0.1891,-85.71,0.094475,0.2399,0.007545651,-0.912413538,0.014168501
1a2k_99,r-l_99,1a2k,0,-64.69313,953.564,223.146,-18.316,-0.506,-0.0963,-72.5,0.597807,0.2393,0.010279951,0.102991834,0.5790631771087646
1e96_1,r-l_1,1e96**,0,-79.0986,799.511,262.629,4.81,-0.731,0.1258,-55.84,0.613278,0.24,0.010279951,-0.408443272,0.954992175
1e96_10,r-l_10,1e96**,0,-69.33965005,3071.56,493.833,28.156,1.681,0.1328,-74.92,1.016777,0.2429,0.009330537,0.035532083,-1.610653877
1e96_100,r-l_100,1e96**,0,-72.2487,461.344,245.641,37.626,-5.684,0.0298,-7.87,0.550869,0.2564,0.009748254,-0.968481123,1.930250644683838
1e96_10907,r-l_10907,1e96**,1,-77.54862,1098.12,412.338,-6.032,3.558,0.1413,-86.12,1.063048,0.49,0.042723384,0.211523995,0.622732937
1e96_11,r-l_11,1e96**,0,-72.49533,3660.31,278.757,23.983,0.13,0.1511,-43.4,0.791801,0.6659,0.008887454,0.136267751,-0.055473804
1e96_11010,r-l_11010,1e96**,1,-61.35825,2229.3,666.502,-5.575,3.614,-0.0786,-93.77,1.065366,0.2666,0.142399177,0.27317968,0.400866151
1e96_12,r-l_12,1e96**,0,-72.2105,166.28,84.957,15.162,-5.147,0.1937,-21.34,0.232742,0.2923,0.010279951,-0.624439657,1.9177815914154053
1e96_12676,r-l_12676,1e96**,1,-71.46713,839.469,259.374,-14.29,1.208,0.0385,-54.52,0.856093,0.9657,0.010279951,0.281769633,-0.010879397
1e96_13,r-l_13,1e96**,0,-77.33273,764.341,342.527,20.869,-4.295,0.4313,-50.44,0.514007,0.2391,0.005411135,-0.528350174,0.024638176
1e96_14,r-l_14,1e96**,0,-91.2692,622.496,328.972,0.915,5.675,-0.2335,-55.86,1.085366,0.2391,0.00798224,0.324043244,0.1470764875411987
1e96_15,r-l_15,1e96**,0,13.05742,2208,712.205,3.505,-0.406,0.1652,-105.63,0.622525,0.24,0.027264405,-1.942094445,0.6766916513442993
1e96_16,r-l_16,1e96**,0,-76.1792,1229.1,387.147,13.357,-0.015,-0.085,-63.42,0.516533,0.2392,0.010279951,-0.985571539,1.382475733757019
1e96_17,r-l_17,1e96**,0,-93.1257,2410.63,694.965,1.157,1.562,0.0477,-105.49,1.188467,0.2416,0.002438084,-0.467734158,0.6015642881393433
1e96_18,r-l_18,1e96**,0,-75.11583,861.636,364.351,-3.009,-0.835,-0.2218,-77.55,0.725029,0.8518,0.007917361,-0.237340927,-1.044712305
1e96_18640,r-l_18640,1e96**,1,426.66507,938.118,442.854,-7.323,3.573,0.0117,-59.75,0.998962,0.8664,0.017998664,0.182145223,0.4429546594619751
1e96_19,r-l_19,1e96**,0,-88.9948,3495.31,542.799,10.093,-8.6,0.0839,-54.83,0.437503,0.431,0.008827793,-1.52209115,-0.768478513
1e96_2,r-l_2,1e96**,0,5281671.769,1198.92,310.355,8.084,-1.324,0.1399,-47.6,0.362042,0.2398,0.010279951,-0.581394792,0.003060222
1e96_20,r-l_20,1e96**,0,82.05630000000001,1338.54,514.172,31.067,-6.235,0.1759,-64.16,0.340986,0.2409,0.022310132,-1.103183627,1.8461179733276367
1e96_21,r-l_21,1e96**,0,-78.7624,1828.21,486.021,10.477,-1.079,0.0137,-75.53,0.766355,0.2406,0.010279951,-0.618080556,1.653055191040039
1e96_22,r-l_22,1e96**,0,1101.1792000000005,875.509,352.761,12.581,-8.422,0.1175,-44.15,0.423913,0.2574,0.010279951,-0.80347991,0.8947895765304565
1e96_23,r-l_23,1e96**,0,-74.88526,834.137,229.906,18.62,-10.871,0.009,-45.54,0.476661,0.2397,0.006763606,-0.76373291,1.7241185903549194
1e96_24,r-l_24,1e96**,0,713.917421,3545.09,424.242,31.364,1.429,0.0096,-63.85,0.663506,0.254,0.009335903,-0.803863934,-0.128168941
1e96_25,r-l_25,1e96**,0,-73.6787,2130.2,287.342,37.219,-3.738,0.1381,-25.37,0.846348,0.2391,0.010240882,-0.231952399,-0.031325102
1e96_26,r-l_26,1e96**,0,-38.86647,617.753,209.608,12.595,-5.679,0.1254,-21.1,0.277138,0.27,0.010279951,-0.429125726,1.869315863
1e96_26140,r-l_26140,1e96**,1,-79.04634,142.479,111.137,-19.855,3.472,-0.0024,-37.21,1.185086,0.9569,0.008939491,0.381518483,0.219461441
1e96_27,r-l_27,1e96**,0,-43.21526,2908.91,295.453,50.193,-7.084,-0.0588,-42.54,-0.140563,0.2391,0.010279951,-1.101197958,1.7647085189819336
1e96_28,r-l_28,1e96**,0,10186314.08,3033.73,760.405,28.226,-5.125,0.027,-53.05,-0.122641,0.2405,0.010279951,-0.763936758,0.028792977
1e96_29,r-l_29,1e96**,0,-64.19132,198.567,221.132,22.723,-6.01,0.0318,-4.97,0.333459,0.8659,0.010279951,-0.584719062,1.9099072217941284
1e96_3,r-l_3,1e96**,0,1304.58268,1462.56,408.977,27.456,-1.947,0.0205,-36.56,0.338766,0.24,0.010279951,-0.621977389,0.1723328828811645
1e96_30,r-l_30,1e96**,0,-85.1864,296.652,163.136,16.731,-5.749,-0.1322,-20.37,0.585487,0.4559,0.010279951,-0.517724037,1.908693790435791
1e96_31,r-l_31,1e96**,0,-50.33933,1506.9,517.996,13.564,-2.81,0.0005,-60.3,0.581518,0.2402,0.007751101,-0.832898438,-0.011416435
1e96_32,r-l_32,1e96**,0,-56.4338,564.903,219.671,21.616,-6.972,0.4434,-29.22,0.283593,0.5027,0.004248192,-1.367340684,1.4730831384658811
1e96_33,r-l_33,1e96**,0,-68.2074,1617.49,323.59,38.984,-7.247,0.4679,-45.54,0.145879,0.2398,0.017146904,-1.304464817,0.921372414
1e96_34,r-l_34,1e96**,0,-57.9466,2983.36,367.717,22.292,1.159,0.0164,-51.98,0.914873,0.3631,0.009949774,0.115584761,0.083860517
1e96_35,r-l_35,1e96**,0,-109.37885,1559.51,423.771,12.349,0.235,0.0808,-77.29,0.748494,0.2398,0.002359239,-0.852857351,0.2006762027740478
1e96_36,r-l_36,1e96**,0,-69.3919,719.305,193.717,34.91,-5.808,0.1094,22.83,0.646742,0.2389,0.012193032,-0.737666249,1.748398780822754
1e96_37,r-l_37,1e96**,0,1632.8065800000002,3524.1,969.123,48.441,-4.222,0.0451,-101.67,0.570812,0.2399,0.010279951,-0.772035147,-1.68885529
1e96_38,r-l_38,1e96**,0,-66.1544,2091.93,496.902,11.861,-1.522,0.1178,-38.57,0.159649,0.2402,0.011283637,-0.625581861,1.248260259628296
1e96_386,r-l_386,1e96**,1,-90.38372,368.454,263.317,-16.122,2.353,0.0083,-59.72,1.244348,0.8662,0.018965937,0.469799638,-0.014808178
1e96_39,r-l_39,1e96**,0,-60.4088,1002.12,398.551,30.093,-8.17,-0.0216,-71.23,0.46332,0.2403,0.01645937,-0.987344086,1.916545391082764
1e96_4,r-l_4,1e96**,0,-106.702294,4031.43,675.463,31.692,2.415,0.1591,-80.58,1.034362,0.2389,0.010279951,-0.240550697,0.012519836
1e96_40,r-l_40,1e96**,0,-96.52444,1239.37,267.432,11.444,3.413,-0.3338,-61.32,1.069469,0.3939,0.011133998,0.150358453,1.7126414775848389
1e96_41,r-l_41,1e96**,0,-63.47596,944.859,309.038,-0.52,-1.146,0.1324,-77.04,0.645566,0.2901,0.010279951,-1.709485531,-0.197148442
1e96_41248,r-l_41248,1e96**,1,-65.19735,832.191,253.296,-8.567,3.586,-0.0884,-55.7,0.895172,0.8957,0.015850678,0.610708714,1.029430866241455
1e96_42,r-l_42,1e96**,0,750.05262,2356.33,518.299,7.715,-2.973,-0.1089,-51.76,0.24412,0.2403,0.010279951,-0.493516445,1.7848718166351318
1e96_43,r-l_43,1e96**,0,857.0293379999999,879.922,325.59,16.511,-2.925,0.2638,-45.26,0.360846,0.2632,0.010279951,-0.690119684,0.015290499
1e96_44,r-l_44,1e96**,0,-50.9778,1475.14,145.932,25.696,-2.934,0.0197,-24.25,0.497159,0.8131,0.003330965,-2.306944132,1.897072076797485
1e96_443,r-l_443,1e96**,1,-63.12032,728.017,335.634,-9.112,3.615,0.139,-84.12,1.116048,0.3607,0.06927073,0.220811963,-0.060760736
1e96_45,r-l_45,1e96**,0,-66.4238,1.58287,43.934,10.592,-3.872,0.0875,-9.9,0.296626,0.267,0.010279951,-0.583210051,1.931939721107483
1e96_46,r-l_46,1e96**,0,-69.5544,1433.44,461.763,18.181,-1.752,-0.0882,-58.21,0.517195,0.2405,0.010279951,-0.689388871,1.0046162605285645
1e96_47,r-l_47,1e96**,0,-60.32287,323.161,160.206,3.699,-1.051,0.2021,3.68,0.436353,0.8601,0.010279951,-1.018972039,1.8402698040008545
1e96_48,r-l_48,1e96**,0,-63.1762,393.314,229.439,21.712,-4.515,0.1779,-7.01,0.328063,0.8643,0.010279951,-0.706785262,1.9288514852523804
1e96_49,r-l_49,1e96**,0,-65.255,1993.95,544.981,34.68,-6.445,0.2715,-21.56,0.423165,0.2396,0.010279951,-0.876419365,1.912336349487305
1e96_49838,r-l_49838,1e96**,1,-63.09453,784.299,210.178,-13.382,1.859,0.0578,-60.04,0.679639,0.992,0.010279951,0.47688818,1.0312854051589966
1e96_5,r-l_5,1e96**,0,-45.7717,1579.32,453.513,22.777,-5.064,0.0151,-60.07,0.358528,0.2406,0.010279951,-0.661028504,0.9367017149925232
1e96_50,r-l_50,1e96**,0,-81.73462,2412.82,648.789,20.757,-7.653,0.1563,-75.38,0.318532,0.2498,0.01451752,-2.110382795,0.4379775524139404
1e96_51,r-l_51,1e96**,0,-45.7552,2113.97,303.839,56.656,-4.493,0.0379,-39.6,-0.052076,0.2409,0.010279951,-1.290978312,1.5678367614746094
1e96_52,r-l_52,1e96**,0,470.67726,668.672,230.132,18.108,-6.065,0.2505,-31.09,0.036004,0.2391,0.010279951,-0.656199872,1.7154390811920166
1e96_53,r-l_53,1e96**,0,-60.2896,1350.29,397.094,23.097,-14.616,0.2075,-55.36,-0.422366,0.3418,0.004018982,-1.550810575,-0.317340136
1e96_54,r-l_54,1e96**,0,-8.58516,1522.13,426.312,34.164,-3.516,0.174,-4.01,0.427406,0.2406,0.010279951,-0.96037972,1.8942832946777344
1e96_55,r-l_55,1e96**,0,-86.0471,668.518,231.356,10.917,-8.908,-0.0931,-30.33,0.356437,0.6348,0.010279951,-0.581690311,1.5266865491867063
1e96_5520,r-l_5520,1e96**,1,-81.59394,906.526,305.22,-10.441,1.953,-0.0689,-59.62,0.999036,0.8631,0.017250206,0.719901383,0.001127124
1e96_56,r-l_56,1e96**,0,-79.12275,747.741,235.093,-3.368,-0.808,-0.0196,-46.43,0.679798,0.3108,0.010279951,-1.610223889,-0.010579824
1e96_57,r-l_57,1e96**,0,-66.80764,933.444,277.789,3.375,2.567,-0.0078,-37.92,0.633809,0.277,0.010279951,-1.112401009,-0.258921623
1e96_58,r-l_58,1e96**,0,-67.7059,1658.51,455.524,23.33,-4.201,0.1726,-30.26,0.503605,0.2407,0.010279951,-0.998016,-0.116241574
1e96_59,r-l_59,1e96**,0,-74.84556,665.889,274.149,3.336,4.046,-0.1008,-58.95,1.220729,0.2392,0.00723868,-0.610351443,-1.338114023
1e96_6,r-l_6,1e96**,0,-79.1211,584.969,220.718,9.04,-0.234,0.1014,-56.05,0.680117,0.2397,0.010279951,-0.458959669,1.6049216985702517
